	title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	polarity	subjectivity	polarity_confidence	subjectivity_confidence	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
1010	The Dark Tower	2017	PG-13	13	95	Action; Adventure; Fantasy	Nikolaj Arcel	Matthew McConaughey; Idris Elba; Tom Taylor; Dennis Haysbert	The last Gunslinger Roland Deschain has been locked in an eternal battle with Walter ODim also known as the Man in Black determined to prevent him from toppling the Dark Tower which holds the universe together With the fate of the worlds at stake good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black	English	USA	2 nominations	5.7	16.0	34	50644837.0	Sony Pictures	4-Aug-17	2017	8	25357489.0	19905.0	122736.0	16083.0	60000000	50701325	Sony / Columbia	neutral	subjective	0.542891204	1.0	4782143	0	9159624	9575722	13918947	9899276	21745046	20441134
1011	Cheaper by the Dozen 2	2005	PG	7	94	Adventure; Comedy; Family	Adam Shankman	Steve Martin; Eugene Levy; Bonnie Hunt; Tom Welling	The Bakers while on vacation find themselves competing with a rival family of eight children	English	USA; Canada	1 win & 5 nominations	5.5	6.0	34	82468131.0	20th Century Fox	21-Dec-05	2005	12	173969.0	29.0	137.0	4.0	60000000	82571173	Fox	neutral	subjective	0.570913255	1.0	-3665554	57086868	9159624	18282396	38789834	12706625	12579404	13031627
1012	Dark Water	2005	PG-13	13	105	Drama; Horror; Thriller	Walter Salles	Jennifer Connelly; John C. Reilly; Tim Roth; Dougray Scott	Dahlia Williams and her daughter Cecelia move into a rundown apartment on New Yorks Roosevelt Island She is currently in the midst of divorce proceedings and the apartment though near an excellent school for her daughter is all she can afford From the time she arrives there are mysterious occurrences and there is a constant drip from the ceiling in the only bedroom There are also noises coming from the apartment directly above hers though it would appear to be vacant Is the apartment haunted or is there a simpler explanation?	English	USA	5 nominations	5.6	46.0	52	25416400.0	Buena Vista Pictures	8-Jul-05	2005	7	249141.0	53.0	196.0	19.0	60000000	25473352	Buena Vista	neutral	subjective	0.838151038	1.0	-47164514	0	9159624	9575722	35057968	9899276	28777378	24118945
1013	The Sentinel	2006	PG-13	13	108	Action; Crime; Thriller	Clark Johnson	Michael Douglas; Kiefer Sutherland; Eva Longoria; Martin Donovan	Special Agent Pete Garrison is convinced that a Neo-Nazi Aryan Disciple has managed to infiltrate the White House When a White House Agent is murdered Garrison is framed and blackmailed over an affair with the First Lady Sarah Ballentine He is relieved of his duties but Garrison wont stop in trying to prove his innocence and save the life of the President While attempting to uncover the person behind it all he comes into confrontation with his protege Agent Breckinridge	English	USA	2 nominations	6.1	33.0	49	36226144.0	20th Century Fox	21-Apr-06	2006	4	396961.0	26.0	308.0	29.0	60000000	36280697	Fox	negative	subjective	0.481425554	1.0	-8360231	0	9159624	9575722	18416293	9899276	12579404	13031627
1014	The Shaggy Dog	2006	PG	7	98	Comedy; Family; Fantasy	Brian Robbins	Tim Allen; Kristin Davis; Zena Grey; Spencer Breslin	A man tries to live a normal life despite the fact that he sometimes turns into a sheepdog	English	USA	2 wins & 5 nominations	4.4	26.0	43	61039681.0	Buena Vista Pictures	10-Mar-06	2006	3	184861.0	88.0	467.0	62.0	60000000	61123569	Buena Vista	negative	subjective	0.680150867	1.0	25496583	35673607	9159624	9575722	29230478	12706625	28777378	24118945
1015	Wild Hogs	2007	PG-13	13	100	Action; Adventure; Comedy	Walt Becker	Tim Allen; John Travolta; Martin Lawrence; William H. Macy	Four middle-aged men decide to take a road trip from Cincinnati to the Pacific in order to get away from their lives which are leading them nowhere Taking their motorcycles these Wild Hogs tear up the road and eventually stop in New Mexico for a drink not knowing that the bar belongs to the Del Fuegos a mean biker gang When the Del Fuegos steal a bike that belongs to the Wild Hogs the four men form a plan to steal their bike back	English	USA	4 nominations	5.9	14.0	27	168213584.0	Buena Vista Pictures	2-Mar-07	2007	3	107907.0		110.0	11.0	60000000	168273550	Buena Vista	neutral	subjective	0.61855191	1.0	50230653	14492060	9159624	9575722	25538162	9899276	28777378	24118945
1016	State of Play	2009	PG-13	13	127	Crime; Drama; Mystery	Kevin Macdonald	Russell Crowe; Ben Affleck; Rachel McAdams; Helen Mirren	A petty thief is gunned down in an alley and a Congressmans assistant falls in front of a subway - two seemingly unrelated deaths But not to wisecracking brash newspaper reporter Cal McAffrey who spies a conspiracy waiting to be uncovered With a turbulent past connected to the Congressman and the aid of ambitious young rookie writer Della Frye Cal begins uprooting clues that lead him to a corporate cover-up full of insiders informants and assassins But as he draws closer to the truth the relentless journalist must decide if its worth risking his life and selling his soul to get the ultimate story	English; Cantonese	USA; UK; France	2 wins & 4 nominations	7.1	84.0	64	36965395.0	Universal Pictures	17-Apr-09	2009	4	91031.0	14.0	40.0	7.0	60000000	37017955	Universal	negative	subjective	0.82263279	1.0	43340849	0	22281727	16829699	21435050	9899276	20852222	24540500
1017	Trouble with the Curve	2012	PG-13	13	111	Drama; Sport	Robert Lorenz	Clint Eastwood; Chelcie Ross; Raymond Anthony Thomas; Ed Lauter	Gus is a baseball scout The team he works for thinks he should retire He asks them to let him do one more scouting job to prove himself His friend Pete asks Guss estranged daughter Mickey if she could go with him to make sure hes OK as his eyes are failing The doctor tells Gus he should get his eyes treated but he insists on doing his scouting assignment which takes him to North Carolina Mickey decides to put her work on hold to go with him and she wants him to explain why he pushed her away Whilst there he runs into Johnny a scout from another team who was a promising player Gus once scouted Johnny and Mickey take an interest in each other	English	USA	2 wins & 1 nomination	6.8	51.0	58	35754555.0	Warner Bros. Pictures	21-Sep-12	2012	9	1295462.0	97.0	687.0	26.0	60000000	35763137	Warner Bros.	neutral	subjective	0.557244539	1.0	115095302	0	9159624	9575722	18200190	9899276	18199373	12943408
1018	Rock Dog	2016	PG	7	90	Animation; Adventure; Comedy	Ash Brannon	Luke Wilson; Eddie Izzard; J.K. Simmons; Lewis Black	When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff he leaves home to fulfill his dream of becoming a musician setting into motion a series of completely unexpected events	English	China; USA	2 nominations	5.8		48			24-Feb-17	2017	2	433445.0	252.0	1359.0	98.0	60000000	9420546	Lionsgate/Summit	neutral	subjective	0.60422647	1.0	12379250	0	9159624	16850658	22293110	12706625	2061285	11630608
1019	Perfect Stranger	2007	R	17	109	Crime; Mystery; Thriller	James Foley	Halle Berry; Bruce Willis; Giovanni Ribisi; Richard Portnow	Rowena Price is a muckraking reporter for a New York paper When her story about a closeted gay Senator who preaches family values is spiked she quits and soon finds herself investigating the grisly murder of a childhood friend Her friend had been dumped by ad exec Harrison Hill so hes Rowenas prime suspect Rowena gets a job at the ad agency as a temp and shes soon the object of Hills attentions Shes helped in her subterfuge by Miles Haley a friend at the paper who has a secret thing for her Everyone it seems has secrets including Hill who must keep his affairs from his wife - her money fuels his lifestyle Murder will out?	English	USA	1 win	5.7	11.0	31	23705592.0	Sony Pictures	13-Apr-07	2007	4	19873.0	5.0	123.0	5.0	60750000	23984949	Sony (Revolution)	neutral	subjective	0.61558044	1.0	335884	59581250	9159624	9575722	26386918	8133748	21745046	4649015
1020	Blades of Glory	2007	PG-13	13	93	Comedy; Sport	Josh Gordon; Will Speck	Will Ferrell; Jon Heder; Will Arnett; Amy Poehler	When rivalry between the worlds best mens figure skaters - sex addicted improvisational Chazz Michael Michaels and germophobic precise Jimmy MacElroy - breaks into a fight on the awards platform theyre banned from the event for life Three years later desire for a gold medal and a careful reading of the rules lead them to compete as skatings first male-male pair Can they overcome mutual dislike limited time to prepare their coachs secret past and the dirty tricks of their main opponents the Van Waldenberg siblings? The key to victory or defeat may lie in the attraction of the virginal Jimmy toward Katie the Van Waldenbergs little sister	English; Japanese	USA	3 wins & 10 nominations	6.3	70.0	64	118153533.0	Paramount Pictures	30-Mar-07	2007	3	1294935.0	364.0	1723.0	91.0	61000000	118594548	Paramount (DreamWorks)	positive	subjective	0.882992148	1.0	8800114	17558852	15893748	9575722	23518476	9899276	22280237	21139428
1021	Shooter	2007	R	17	124	Action; Crime; Drama	Antoine Fuqua	Mark Wahlberg; Michael Peña; Danny Glover; Kate Mara	Bob Lee Swagger one of the worlds great marksmen and the son of a Congressional Medal of Honoree is a loner living in the Rockies Hes left the military having been hung out to dry in a secret Ethiopian mission a few years before when hes recruited by a colonel to help find a way that the President of the US might be assassinated in one of three cities in the next two weeks He does his work but the shot is fired notwithstanding and Bob Lee is quickly the fall guy: wounded and hunted by thousands he goes to ground and aided by two unlikely allies searches for the truth and for those who double-crossed him All roads lead back to Ethiopia	English	USA	2 nominations	7.2	47.0	53	47000000.0	Paramount Pictures	23-Mar-07	2007	3	115177.0	3.0	51.0	6.0	61000000	47003582	Paramount	positive	subjective	0.905002534	1.0	18236088	46530738	9159624	9575722	13464425	8133748	22280237	20132369
1022	2 Guns	2013	R	17	109	Action; Comedy; Crime	Baltasar Kormákur	Denzel Washington; Mark Wahlberg; Paula Patton; Edward James Olmos	Robert Trench an undercover DEA agent takes advantage of gunman Michael Stigmans idea to rob a bank to bust him and a mob boss However it proves too successful with much more money seized than anticipated with Trenchs forces not stopping the getaway Complicating things still more Stigman turns out to be a Naval Intelligence agent who shoots Trench and takes the money The interservice debacle suddenly finds Trench and Stigman in a bloody web of corrupt clandestine rivalries as they are hunted blackmailed and isolated for the money on both sides of the law Now the fugitives must work together to find a way out of this situation with no one to turn to but themselves	English; Spanish	USA	3 wins	6.7	64.0	55	73500000.0	Universal Pictures	2-Aug-13	2013	8	198496.0	158.0	835.0	28.0	61000000	75612460	Universal	negative	subjective	0.440103561	1.0	45865805	0	15035100	9575722	18782711	8133748	20852222	24540500
1023	The Love Guru	2008	PG-13	13	87	Comedy; Romance; Sport	Marco Schnabel	Jessica Simpson; Kanye West; Mike Myers; Deepak Chopra	Born in America but raised in Havemahkeeta in India with a population of 76 Maurice had always to better Deepak Chopra and be sexually active ever since he was 12 His Guru Tugginmypudha while approving of Deepak cautions Maurice and has a chastity belt put around his waist much to Maurices chagrin Years later Maurice has established himself as Guru Pitka in America but would like to appear in the Oprah Show and be better than Deepak Chopra When Jane Bullard from the the Toronto Maple Leafs hires him to counsel their star hockey player Darren Roanoke to win back his wife Prudence from Kings star player Jacques Grande and also stand up to his dominating mother Lilian he agrees to do so - with hilarious results	English	UK; Germany; USA	5 wins & 8 nominations	3.8	13.0	24	32178777.0	Paramount Pictures	20-Jun-08	2008	6	15891.0	13.0	30.0	15.0	62000000	32235793	Paramount	negative	subjective	0.383246511	1.0	16444855	0	9159624	20245175	34287939	9899276	22280237	20132369
1024	Zodiac	2007	R	17	157	Crime; Drama; History	David Fincher	Jake Gyllenhaal; Mark Ruffalo; Anthony Edwards; Robert Downey Jr.	A serial killer in the San Francisco Bay Area taunts police with his letters and cryptic messages We follow the investigators and reporters in this lightly fictionalized account of the true 1970s case as they search for the murderer becoming obsessed with the case Based on Robert Graysmiths book the movies focus is the lives and careers of the detectives and newspaper people	English	USA	2 wins & 67 nominations	7.7	90.0	78	33000000.0	Paramount Pictures	2-Mar-07	2007	3	70652.0	4.0	42.0	3.0	65000000	33080084	Paramount	neutral	subjective	0.899491966	1.0	-8757629	27028932	9159624	9575722	9664989	8133748	22280237	20132369
1025	Sex and the City	2008	R	17	145	Comedy; Drama; Romance	Michael Patrick King	Sarah Jessica Parker; Kim Cattrall; Kristin Davis; Cynthia Nixon	After moving in together in an impossibly beautiful New York apartment Carrie Bradshaw and Mr Big make a rather arbitrary decision to get married The wedding itself proves to be anything but a hasty affair--the guest list quickly blooms from 75 to 200 guests and Carries simple label-less wedding gown gives way to an enormous creation that makes her look like a gigantic cream puff An upcoming photo spread in Vogue puts the event--which will take place at the New York Public Library--squarely in the public eye Meanwhile Carries girlfriends--Samantha the sexpot Charlotte the sweet naïf and Miranda the rigid perfectionist--could not be happier At least they couldnt be happier for Carrie Charlotte still has the unrealized hope of getting pregnant Samantha is finding a loving committed relationship more grueling than she could have imagined Miranda unwittingly lets her own unhappiness--created when Steve admits to cheating on her just once--spoil Carries After a heated encounter with Steve she happens to spot Mr Big and tells him hes crazy to get married Shes really only thinking of her own marriage But her angry remark gets Mr Big to thinking	English	USA	2 wins & 12 nominations	5.6	49.0	53	152595674.0	Warner Bros. Pictures	30-May-08	2008	5	146698.0	6.0	72.0	16.0	65000000	152647258	Warner Bros. (New Line)	positive	subjective	0.890479088	1.0	-28419913	0	9159624	9575722	27926409	8133748	18199373	34076409
1026	Step Brothers	2008	R	17	98	Comedy	Adam McKay	Will Ferrell; John C. Reilly; Mary Steenburgen; Richard Jenkins	Brennan Huff and Dale Doback are both about 40 when Brennans mom and Dales dad marry The sons still live with the parents so they must now share a room Initial antipathy threatens the households peace and the parents relationship Dad lays down the law: both slackers have a week to find a job Out of the job search and their love of music comes a pact that leads to friendship but more domestic disarray compounded by the boys sleepwalking Hovering nearby are Brennans successful brother and his lonely wife: the brother wants to help sell his step-fathers house the wife wants Dales attention and the newlyweds want to retire and sail the seven seas Can harmony come from the discord?	English; Spanish	USA	3 wins & 2 nominations	6.9	54.0	51	100468793.0	Columbia Pictures	25-Jul-08	2008	7	1115475.0	195.0	1759.0	81.0	65000000	100468793	Sony / Columbia	neutral	subjective	0.561715662	1.0	24833922	75168368	15035100	9575722	11237616	8133748	12442899	20441134
1027	Astro Boy	2009	PG	7	94	Animation; Action; Comedy	David Bowers	Charlize Theron; Freddie Highmore; Ryan Stiles; Eugene Levy	Set in futuristic Metro City Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost Unable to fulfill the grieving mans expectations our hero embarks on a journey in search of acceptance experiencing betrayal and a netherworld of robot gladiators before he returns to save Metro City and reconcile with the father who had rejected him	English	Hong Kong; USA; Japan	4 nominations	6.3	49.0	53	19548064.0	Summit Entertainment	23-Oct-09	2009	10	64483.0	30.0	92.0	12.0	65000000	19551067	Summit Entertainment	positive	subjective	0.993611515	1.0	-10761291	-1261276	9159624	36783379	18238142	12706625	11176802	15758336
1028	The Lovely Bones	2009	PG-13	13	135	Drama; Fantasy; Thriller	Peter Jackson	Mark Wahlberg; Rachel Weisz; Susan Sarandon; Stanley Tucci	A 14-year-old girl in suburban 1970s Pennsylvania is murdered by her neighbor She tells the story from the place between Heaven and Earth showing the lives of the people around her and how they have changed all while attempting to get someone to find her lost body	English	USA; UK; New Zealand	Nominated for 1 Oscar Another 10 wins & 45 nominations	6.7	31.0	42	43982842.0	Paramount Pictures	11-Dec-09	2009	12	2540604.0	2107.0	11380.0	258.0	65000000	44114232	Paramount (DreamWorks)	neutral	subjective	0.503809154	1.0	3692575	0	9159624	28337257	16408929	9899276	22280237	21139428
1029	Due Date	2010	R	17	95	Comedy; Drama	Todd Phillips	Robert Downey Jr.; Zach Galifianakis; Michelle Monaghan; Jamie Foxx	In Atlanta on business straight-laced and overly analytical architect Peter Highman is flying home to Los Angeles and his wife Sarah for the imminent birth of their first child However traveling by plane no longer becomes an option when he and a fellow passenger aspiring actor Ethan Tremblay are kicked off the plane which was caused by Ethans social inappropriateness due to being generally unaware exacerbated by Peters temper at a situation against his sensibilities Peter who ends up without money or his suitcase is forced to accept Ethans offer of a shared car ride to Los Angeles Ethan who is looking for his big acting break For Peter this partnership is one made in hell but he feels he has no other choice Peter obviously wants to take as direct and as quick a route as possible while he is at Ethans mercy as the person with the drivers license car rental and money They get into one misadventure after another on this trip with the same issue at each misadventure being Ethans ineptness as an adult combined with Peters resulting temper The questions become whether they will survive the trip together and if so if Peter will make it home in time to witness the birth of his and Sarahs first child	English; Spanish	USA	7 nominations	6.6	40.0	51	100448498.0	Warner Bros. Pictures	5-Nov-10	2010	11	146221.0	28.0	145.0	6.0	65000000	100539043	Warner Bros.	neutral	subjective	0.636676311	1.0	49788160	72721531	15035100	9575722	17156946	8133748	18199373	12943408
1030	Lincoln	2012	PG-13	13	150	Biography; Drama; History	Steven Spielberg	Daniel Day-Lewis; Sally Field; David Strathairn; Joseph Gordon-Levitt	In 1865 as the American Civil War winds inexorably toward conclusion US president Abraham Lincoln endeavors to achieve passage of the landmark constitutional amendment which will forever ban slavery from the United States However his task is a race against time for peace may come at any time and if it comes before the amendment is passed the returning southern states will stop it before it can become law Lincoln must by almost any means possible obtain enough votes from a recalcitrant Congress before peace arrives and it is too late Yet the president is torn as an early peace would save thousands of lives As the nation confronts its conscience over the freedom of its entire population Lincoln faces his own crisis of conscience -- end slavery or end the war	English	USA; India	Won 2 Oscars Another 108 wins & 242 nominations	7.4	90.0	86	129477447.0	Dreamworks Pictures	9-Nov-12	2012	11	9063612.0	10421.0	19930.0	3052.0	65000000	182207973	Buena Vista	neutral	subjective	0.607770205	1.0	23268794	31146256	9159624	23884293	12254326	9899276	9005072	24118945
1031	This Means War	2012	PG-13	13	103	Action; Comedy; Romance	McG	Reese Witherspoon; Chris Pine; Tom Hardy; Til Schweiger	Two CIA agents Tuck and Frank who are also best friends have been benched because someones after them Tuck is divorced with a son whom hes not close to and Frank is a ladies man Tuck decides to try and find someone so he places his profile on a dating website Lauren a woman also looking for a guy sees Tucks profile and goes with him She later bumps into Frank and he hits on her and she goes out with him Shes intrigued by both of them When they learn that theyre dating the same girl they agree to let her choose But both cant help but use their skills to keep tabs on her and each other And also sabotage each others dates with her	English; German; Japanese; Serbian	USA	1 win & 6 nominations	6.3	25.0	31	54758461.0	Twentieth Century Fox	17-Feb-12	2012	2	2487783.0	799.0	5086.0	232.0	65000000	54760791	Fox	positive	subjective	0.628467619	1.0	-41740505	2697999	16300203	9575722	27129868	9899276	0	13031627
1032	Unbroken	2014	PG-13	13	137	Biography; Drama; Sport	Angelina Jolie	Jack O'Connell; Domhnall Gleeson; Garrett Hedlund; Miyavi	The life of Louis Zamperini an Olympic athlete who joined the armed forces during the second world war Only to be captured by the Japanese navy after a plane crash in the Pacific During his capture Louie must continue his fight by surviving through the war	English; Japanese; Italian	USA	Nominated for 3 Oscars Another 14 wins & 29 nominations	7.2	51.0	59	70500647.0	Universal Pictures	25-Dec-14	2014	12	3925245.0	926.0	5791.0	646.0	65000000	115637895	Universal	neutral	objective	0.68501395	1.0	14259333	0	20503372	9575722	23211833	9899276	20852222	24540500
