X,title,year,rated,min_age,runtime.min.,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,Distributor,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,likeCount_ln,dislikeCount_ln,dislikeCount_rc,like_ratio
10,The Canyons,2013,R,17,99,Drama; Thriller,Paul Schrader,Lindsay Lohan; James Deen; Nolan Gerard Funk; Amanda Brooks,When Christian an LA trust-fund kid with casual ties to Hollywood learns of a secret affair between Tara and the lead of his film project Ryan he spirals out of control and his cruel mind games escalate into an act of bloody violence,English,USA,2 wins & 2 nominations,3.9,22,36,31317,IFC Films,2-Aug-13,2013,8,1057434,141,499,120,250000,56825,IFC,neutral,subjective,0.592984796,1,-6421229,-14970840,9159624,9575722,16790528,8133748,-1947483,-4593538,10.947731648720744,238.37994882120435,6.212606095751519,4.787491742782046,120,4.158333333333333
11,Compliance,2012,R,17,90,Biography; Crime; Drama,Craig Zobel,Ann Dowd; Matt Servitto; Dreama Walker; Pat Healy,At a fast food restaurant the manager Sandra is having a bad day Suddenly she gets a phone call from a man claiming to be a police officer who has a complaint that one of her young female employees has stolen from a customer At the orders of this authoritative sounding stranger Sandra takes the apparent accused Becky to a back room to search her before she is picked up Once there the phone scammer manipulates the gullible personnel into participating in Beckys sexual humiliation that grows more twisted with every new sucker on the phone Only when one final person has the conscience to revolt do they realize the crime they were tricked into which the real police are hard pressed to solve,English,USA,7 wins & 34 nominations,6.4,89,68,318622,Magnolia Pictures,17-Aug-12,2012,8,194743,71,312,23,270000,319285,Magnolia,negative,subjective,0.995445371,1,197140,49285,9159624,9575722,13353279,8133748,-3184813,-4333005,12.673839399835526,565.0530948503866,5.7430031878094825,3.1354942159291497,23,13.565217391304348
12,Murderball,2005,R,17,88,Documentary; Sport,Henry Alex Rubin; Dana Adam Shapiro,Joe Bishop; Keith Cavill; Andy Cohn; Scott Hogsett,Quad rugby as played by the US team between 2002 games in Sweden and the 2004 Paralympics in Athens Young men most with spinal injuries play this rough and tumble sport in special chairs seated gladiators We get to know several and their families They talk frankly about their injuries feelings in public sex lives competitiveness and love of the game Theres also an angry former team member gone north to coach the Canadian team tough on everyone including his viola-playing son We meet a recently injured man in rehab at times close to despair finding possible joy in quad rugby After Athens the team meets young men injured in war: the future stars of Team USA,English,USA,Nominated for 1 Oscar Another 17 wins & 12 nominations,7.8,98,87,1328551,ThinkFilm,8-Jul-05,2005,7,52637,8,52,1,350000,1531154,ThinkFilm,neutral,subjective,0.83586973,1,4724616,2362308,9159624,9575722,18652812,8133748,-2396764,-7914859,14.24153225743228,1237.3980766107566,3.9512437185814275,0,1,52
13,Blue Ruin,2013,R,17,90,Crime; Drama; Thriller,Jeremy Saulnier,Macon Blair; Ydaiber Orozco; Ronald Sarcos; Dani Santiago,A mysterious outsiders quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance Proving himself an amateur assassin he winds up in a brutal fight to protect his estranged family,English,USA; France,8 wins & 18 nominations,7.1,96,77,NA,Radius-TWC,25-Apr-14,2014,4,57838,4,42,5,420000,258384,Radius-TWC,negative,subjective,0.538627386,1,-646464,-970622,9159624,14393267,19212834,8133748,540457,-5552633,12.462202129468848,508.3148630524195,3.7376696182833684,1.6094379124341003,5,8.4
14,Brick,2005,R,17,110,Action; Crime; Drama,Rian Johnson,Joseph Gordon-Levitt; Nora Zehetner; Lukas Haas; Noah Fleiss,The lonely teenager Brendan finds his former girlfriend Emily dead in the entrance of a tunnel of sewage and recalls her phone call two days ago when she said to him that she was in trouble Brendan who still loved Emily met bad elements of his high-school trying to contact her and when he succeeded she told him that she was OK He hides her body in the tunnel and decides to investigate the meaning and connection of four words including brick and pin that Emily told him to find who killed her Using the support of his nerd friend Brain he successively meets the small time drug dealers Kara Dode Brad Bramish Laura and Tugger to reach the teenager powerful drug dealer The Pin Slowly Brendan unravels the motives why Emily was killed and plots a revenge,English,USA,11 wins & 23 nominations,7.4,79,72,1973180,Focus Features,31-Mar-06,2006,3,335137,214,1181,34,450000,2075743,Focus Features,negative,subjective,0.824742854,1,5015649,7214568,9159624,9575722,13464425,8133748,3463844,-395282,14.54582971984351,1440.7439050712655,7.074116816197362,3.5263605246161616,34,34.73529411764706
15,Fireproof,2008,PG,7,122,Drama; Romance,Alex Kendrick,Kirk Cameron; Erin Bethea; Ken Bevel; Stephen Dervan,In Albany the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce However Calebs father John proposes that his son delays their separation process for forty days and follow a procedure called The Love Dare to make them love each other again,English,USA,NA,6.6,40,28,33451479,Sherwood Pictures,26-Sep-08,2008,9,32852,NA,49,4,500000,33456317,Samuel Goldwyn,neutral,subjective,0.805821657,1,131608220,32739269,9159624,9575722,16688793,12706625,32956317,-113299,17.325751175737178,5784.143583971615,3.8918202981106265,1.3862943611198906,4,12.25
16,Drinking Buddies,2013,R,17,90,Comedy; Drama; Romance,Joe Swanberg,Olivia Wilde; Jake Johnson; Anna Kendrick; Ron Livingston,Luke and Kate are co-workers at a Chicago brewery where they spend their days drinking and flirting Theyre perfect for each other except that theyre both in relationships Luke is in the midst of marriage talks with his girlfriend of six years Kate is playing it cool with her music producer boyfriend Chris But you know what makes the line between friends and more than friends really blurry? Beer,English,USA,1 win & 3 nominations,6.1,83,71,2e5,Magnolia Pictures,23-Aug-13,2013,8,5061231,777,7607,588,500000,343341,Magnolia,negative,subjective,0.465413541,1,92346323,-98173,9159624,9575722,27926409,8133748,-3184813,-4333005,12.746479401385484,585.9530697931363,8.936824154997302,6.376726947898627,588,12.937074829931973
17,Lonesome Jim,2005,R,17,91,Comedy; Drama,Steve Buscemi,Casey Affleck; Kevin Corrigan; Mary Kay Place; Seymour Cassel,Jim is a young man who after deciding he cant make it on his own moves back to his hometown in Indiana -- under his parents roof Hes saved from his familys dysfunction by a local woman and her son who sees him as a father figure,English,USA,1 win & 3 nominations,6.6,60,54,NA,IFC Films,24-Mar-06,2006,3,53227,27,83,2,500000,154187,IFC,neutral,subjective,0.442456186,1,1272580,-345813,9159624,9575722,17156946,8133748,-1947483,-4593538,11.945921430461429,392.6665251839021,4.418840607796598,0.6931471805599453,2,41.5
18,Mad Hot Ballroom,2005,PG,7,105,Documentary; Family; Music,Marilyn Agrelo,Heather Berman; Emma Therese Biegacki; Eva Carrozza; Evangelina Carrozzo,Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way Told from their candid sometimes hilarious perspectives these kids are transformed from reluctant participants to determined competitors from typical urban kids to ladies and gentlemen on their way to try to compete in the final citywide competition Providing unique insight into the incredible cultural diversity that is New York City this film profiles several kids from three schools (out of 60) at this dynamic age when becoming that cool teenager vies for position with familiar innocence while they learn the merengue rumba tango the foxtrot and swing,English; Spanish,USA,8 wins & 9 nominations,7.5,84,71,7899271,Paramount Classics,13-May-05,2005,5,122687,52,127,6,500000,8117961,Paramount Classics,neutral,subjective,0.753967047,1,30471844,7617961,15035100,9575722,38837615,12706625,2832026,-2903378,15.90958957223049,2849.203572930513,4.844187086458591,1.791759469228055,6,21.166666666666668
19,Beyond the Reach,2014,R,17,91,Thriller,Jean-Baptiste Léonetti,Michael Douglas; Jeremy Irvine; Hanna Mangan Lawrence; Ronny Cox,A high-rolling corporate shark and his impoverished young guide play the most dangerous game during a hunting trip in the Mojave Desert,English,USA,NA,5.6,37,34,32050,Roadside Attractions,17-Apr-15,2015,4,32498,NA,NA,NA,500000,45895,Roadside Attractions,neutral,objective,0.681665719,1,1098410,-454105,9159624,9575722,10871198,8133748,-6218107,-5768780,10.734111457653192,214.23118353778472,NA,NA,NA,NA
20,Smashed,2012,R,17,81,Drama,James Ponsoldt,Mary Elizabeth Winstead; Aaron Paul; Nick Offerman; Megan Mullally,Kate and Charlie Hannah have a relationship well lubricated with alcohol but Kate finally finds her chemical appetites have gotten completely out of control With the help of an ex-addict friend at work Kate finds a support group that helps her begin to conquer her addictions However that recovery proves just part of a larger personal challenge to rebuild her life even as her marriage with her drunken husband deteriorates,English,USA,10 nominations,6.8,85,71,375981,Sony Pictures Classics,12-Oct-12,2012,10,121171,113,496,23,500000,376597,Sony Classics,positive,subjective,0.40919584,1,30579431,-4442746,9159624,9575722,5919330,8133748,-1688477,-1096370,12.838930929161776,613.6749954169552,6.206575926724928,3.1354942159291497,23,21.565217391304348
21,Ballast,2008,NOT RATED,17,96,Drama,Lance Hammer,Micheal J. Smith Sr.; JimMyron Ross; Tarra Riggs; Johnny McPhail,A single mother and her embattled son struggle to subsist in a small Mississippi Delta township An act of violence thrusts them into the world of an emotionally devastated highway store owner awakening the fury of a bitter and longstanding conflict,English,USA,17 wins & 21 nominations,7,92,84,1e5,Alluvial Film Company,1-Oct-08,2008,10,99962,50,80,15,700000,77556,Alluvial Film Company,negative,subjective,0.772499084,1,-2489776,-622444,9159624,9575722,5919330,-3152472,-622444,-622444,11.258755535050895,278.48877894809334,4.382026634673881,2.70805020110221,15,5.333333333333333
22,Enron: The Smartest Guys in the Room,2005,NOT RATED,17,110,Documentary,Alex Gibney,John Beard; Tim Belden; Barbara Boxer; George W. Bush,Enron dives from the seventh largest US company to bankruptcy in less than a year in this tale told chronologically The emphasis is on human drama from suicide to 20000 people sacked: the personalities of Ken Lay (with Falwellesque rectitude) Jeff Skilling (he of big ideas) Lou Pai (gone with $250 M) and Andy Fastow (the dark prince) dominate Along the way we watch Enron game Californias deregulated electricity market get a free pass from Arthur Andersen (which okays the dubious mark-to-market accounting) use greed to manipulate banks and brokerages (Merrill Lynch fires the analyst who questions Enrons rise) and hear from both Presidents Bush what great guys these are,English,USA,Nominated for 1 Oscar Another 3 wins & 10 nominations,7.7,97,82,3886956,Magnolia Pictures,22-Apr-05,2005,4,228503,12,285,8,700000,4071700,Magnolia,negative,subjective,0.700400531,1,17251291,286485,9159624,9575722,6371952,-3152472,-3184813,-4333005,15.219571160628108,2017.8453855536106,5.652489180268651,2.0794415416798357,8,35.625
23,Prince Avalanche,2013,R,17,94,Comedy; Drama,David Gordon Green,Paul Rudd; Emile Hirsch; Lance LeGault; Joyce Payne,After a rough time working a night shift job in the city Alvin is spending the summer on a remote two-man public works crew painting lines on newly paved roads through what is a recently wildfire-ravaged region of Texas He is camping along the way living off the land even doing so on his days off He is what he considers a responsible man earning and sending money to his girlfriend Madison a single mother so that she need not concern herself with anything besides child rearing The junior second that Alvin hires for his crew is Madisons brother Lance Alvins controlling and judgmental nature comes to the surface in his dealings with more immature and irresponsible Lance who goes back to the city on the weekends so that he can have his little man squeezed something he cannot understand in Alvin being without Madison or any woman for such a long stretch of time Alvin prefers to stay in the burnt out woods on the weekends as being alone with his thoughts and his chores - many which he considers his life lessons - he believes helps him think more clearly about life Although their lives are affected by the few people they meet along the way it is the aftermath of one of Lances weekends home that will forever change the nature of their relationship and their respective outlooks on life,English; German,USA,3 wins & 5 nominations,6.4,82,73,204951,Magnolia Pictures,9-Aug-13,2013,8,271375,156,817,77,725000,205139,Magnolia,neutral,subjective,0.437778205,1,46033691,9239822,13196632,9575722,17156946,8133748,-3184813,-4333005,12.231443077129818,452.92273071684093,6.705639094860003,4.343805421853684,77,10.61038961038961
24,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,R,17,86,Animation; Action; Adventure,Matt Maiellaro; Dave Willis,Dana Snyder; Carey Means; Dave Willis; Andy Merrill,The story begins in Egypt where Master Shake Frylock and Meatwad are being attacked by an oversize poodle who kills Frylock before being destroyed by Shake Shake and Meatwad drive off with Frylocks corpse and meet Time Lincoln who plans to revive Frylock however when the CIA break into his house the Aqua Teens flee in his wooden rocket ship and Time Lincoln is shot This however is all revealed to be an elaborate story concocted by Shake to explain the ATHFs origin to Meatwad Shake then explains to Meatwad that women are only attracted to great bodies then heads off to work out on his new exercise machine the Insane-O-Flex Together they go in search of a missing piece of an exercise machine that happens to be more than an exercise machine placing them on a collision course with the likes of Oglethorpe and Emory a pair of jagged ridiculous creatures from the future who travel with a robot companion claiming to be the Ghost of Christmas Past They also encounter Dr Weird a mad and evil scientist given to disguises and who seeks revenge against the Hunger Force McPee Pants a rapping spider who wears a shower cap and diaper and the hilarious Ignignokt and Err two-dimensional villains from the ancient days of Pokey Atari video games,English,USA,NA,6.9,48,54,5431812,First Look Pictures,13-Apr-07,2007,4,22851,16,133,5,750000,5520368,First Look,negative,subjective,0.78736639,1,19081472,9540736,9159624,9575722,16178283,8133748,-2324385,-4537557,15.523955082697821,2349.5463391897592,4.890349128221754,1.6094379124341003,5,26.6
25,Safety Not Guaranteed,2012,R,17,86,Comedy; Drama; Romance,Colin Trevorrow,Aubrey Plaza; Lauren Carlos; Basil Harris; Mary Lynn Rajskub,Darius is a young intern at a Seattle-based magazine and jumps at the chance to investigate the author of a classified ad seeking someone to travel back in time with Along with Jeff the staff writer and Arnau a fellow intern the three go on a road trip to a coastal town While Jeff just wants to chase after his high school crush and Arnau wants some kind of life experience Darius spends her time with Kenneth a man who believes that he has built a time machine The closer they become and the more they understand about each other the less clear it becomes if Kenneth is just crazy or if he actually is going to successfully travel back in time,English,USA,7 wins & 18 nominations,7,90,72,4007792,FilmDistrict,8-Jun-12,2012,6,2484659,864,8124,325,750000,4010957,FilmDistrict,neutral,subjective,0.763362825,1,15920875,-1117034,9159624,9575722,27926409,8133748,-9725060,-14158085,15.204540424176152,2002.7373766922112,9.002577922700276,5.783825182329737,325,24.99692307692308
26,Fruitvale Station,2013,R,17,85,Biography; Drama; Romance,Ryan Coogler,Michael B. Jordan; Melonie Diaz; Octavia Spencer; Kevin Durand,This is the true story of Oscar a 22-year-old Bay Area resident who wakes up on the morning of December 31 2008 and feels something in the air Not sure what it is he takes it as a sign to get a head start on his resolutions: being a better son to his mother whose birthday falls on New Years Eve being a better partner to his girlfriend who he hasnt been completely honest with as of late and being a better father to T their beautiful 4 year old daughter He starts out well but as the day goes on he realizes that change is not going to come easy He crosses paths with friends family and strangers each exchange showing us that there is much more to Oscar than meets the eye But it would be his final encounter of the day with police officers at the Fruitvale BART station that would shake the Bay Area to its very core and cause the entire nation to be witnesses to the story of Oscar Grant,English; Spanish,USA,39 wins & 53 nominations,7.5,94,85,11010136,The Weinstein Company,12-Jul-13,2013,7,455935,237,1485,47,900000,16101339,Weinstein Company,neutral,subjective,0.516067266,1,74430334,15201339,15035100,9575722,21700436,8133748,4896905,4433571,16.594412994198315,4012.647380470903,7.3031700512368,3.8501476017100584,47,31.595744680851062
27,Meet the Blacks,2016,R,17,94,Comedy; Horror,Deon Taylor,Mike Epps; Gary Owen; Zulay Henao; Bresha Webb,The Black family is getting out of Chicago in hopes of a better life After Carl Black (Mike Epps) comes into some unexpected funds he takes his family and leaves the hustling lifestyle behind for something better Carl his new wife Lorena (Zulay Henao) son Carl Jr daughter Allie Black (Bresha Webb) and cousin Cronut (Lil Duval) pack up and move to Beverly Hills Turns out Carl couldnt have picked a worse time to move They arrive right around the time of the annual purge when all crime is legal for twelve hours,English,USA,NA,5.7,11,26,NA,Hidden Empire Film Group,1-Apr-16,2016,4,173783,22,120,15,900000,9097072,Freestyle Releasing,neutral,subjective,0.499972582,1,26980191,8197072,9159624,9575722,29505056,8133748,8197072,-10093975,16.02346316147003,3016.1352754808595,4.787491742782046,2.70805020110221,15,8
28,The Brass Teapot,2012,R,17,101,Comedy; Fantasy; Thriller,Ramaa Mosley,Juno Temple; Michael Angarano; Alexis Bledel; Billy Magnussen,Based on the comic book series The Brass Teapot about a mid-twenty-year-old couple who in these difficult economic times finds a mysterious magical brass teapot which makes them money but at a surprising price After realizing the teapots power John and Alice must decide how far they will go to fulfill their dream,English,USA,2 nominations,6.4,33,43,NA,Magnolia Pictures,5-Apr-13,2013,4,3909691,605,7566,610,900000,6997,Magnolia,neutral,subjective,0.355595827,1,-1178728,-893003,9159624,9575722,21727215,8133748,-3184813,-4333005,8.853236764745898,83.64807230295268,8.931419805192975,6.413458957167357,610,12.40327868852459
29,Dean,2016,PG-13,13,94,Comedy; Drama; Romance,Demetri Martin,Asif Ali; Jesaiah Baer; Kathrine Barnes; H. Jon Benjamin,A comedy about loss grief and the redemptive power of love Dean is a NY illustrator who falls hard for an LA woman while trying to prevent his father from selling the family home in the wake of his mothers death,English,USA,1 win & 1 nomination,6.3,64,58,248849,CBS Films,2-Jun-17,2017,6,66126,26,195,36,950000,254536,CBS Films,positive,objective,0.814220309,0.999999986,-2781856,-695464,9159624,9575722,27926409,9899276,11551473,11551473,12.447197558800106,504.51560927289455,5.272999558563747,3.58351893845611,36,5.416666666666667
30,House of Wax,2005,R,17,108,Horror; Mystery; Thriller,Jaume Collet-Serra,Elisha Cuthbert; Chad Michael Murray; Brian Van Holt; Paris Hilton,Six friends are on their way to a football game They decide to camp out for the night and continue driving the next day The next day the friends find that theyre having car troubles so two of the friends accept a strangers ride into a small town named Ambrose The main attraction in Ambrose is the House of Wax Except something is not right in this town the wax figures are so realistic and the whole town is deserted - except for two murderous twin brothers The six friends must fight to survive and escape from being the next exhibits in the House of Wax,English,Australia; USA,5 wins & 11 nominations,5.3,25,41,32e6,Warner Bros. Pictures,6-May-05,2005,5,1905174,790,2201,170,1000000,23750000,Warner Bros.,neutral,subjective,0.551484227,1,55175432,20220107,9159624,24080271,42232052,8133748,18199373,12943408,16.983093088444924,4873.397172404482,7.696667081526462,5.135798437050262,170,12.947058823529412
31,Blue Valentine,2010,R,17,112,Drama; Romance,Derek Cianfrance,Ryan Gosling; Michelle Williams; Faith Wladyka; John Doman,Dean Pereira and Cindy Heller Pereira are a young working class married couple - Dean currently working as a painter and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie Despite their relatively tender ages they are both ravaged by the life theyve eked out together and by the experiences theyve had leading into their marriage Dean a high school drop out comes from a broken home where he never really had a mother figure He never saw himself getting married or having a family despite falling in love at first sight with Cindy He doesnt have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 oclock in the morning without it affecting his work - although Cindy believes he has so much more potential in life Cindy also comes from a dysfunctional family with her own mother and father not setting an example of a harmonious married or family life One of her previous serious relationships was with Bobby Ontario that relationship which has a profound affect on many aspects of her marriage to Dean Dean and Cindy head off on an overnight getaway together without Frankie the getaway which may provide a clearer picture if their marriage can survive its many issues,English,USA,Nominated for 1 Oscar Another 9 wins & 52 nominations,7.4,87,81,96e5,The Weinstein Company,29-Dec-10,2010,12,5077496,1308,10283,356,1000000,9706328,Weinstein Company,neutral,subjective,0.524347126,1,11985079,2551942,9159624,9575722,16688793,8133748,4896905,4433571,16.088288601906086,3115.4980340228108,9.23824732522919,5.87493073085203,356,28.884831460674157
