title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
Cruel World,2005,R,Fri Oct 14 2005 00:00:00 GMT-0400 (EDT),88 min,Comedy; Horror; Thriller,Kelsey T. Howard,Edward Furlong; Daniel Franzese; Andrew Keegan; Susan Ward,Reeling from his dismissal from a reality show a deranged runner-up holds a group of co-eds hostage on the set of his own fictitious show where losers suffer a deadly fate,English,USA,N/A,3.9/10,N/A,N/A,N/A,3.9,movie,N/A,Indican Pictures
Doom,2005,R,Fri Oct 21 2005 00:00:00 GMT-0400 (EDT),105 min,Action; Adventure; Horror,Andrzej Bartkowiak,Karl Urban; Rosamund Pike; Deobia Oparei; Ben Daniels,Something has gone wrong at a remote scientific research station on Mars All research has ceased Communication has failed And the messages that do get through are less than comforting Its a level 5 quarantine and the only souls allowed in or out are the Rapid Response Tactical Squad - hardened Marines armed to the teeth with enough firepower to neutralize the enemyor so they think,English; Japanese,UK; Czech Republic; Germany; USA,3 nominations,5.2/10,19%,34/100,34,5.2,movie,"$28,031,250",Universal Pictures
Constantine,2005,R,Fri Feb 18 2005 00:00:00 GMT-0500 (EST),121 min,Drama; Fantasy; Horror,Francis Lawrence,Keanu Reeves; Rachel Weisz; Shia LaBeouf; Djimon Hounsou,John Constantine is approached by Det Angela Dodson who needs his help to prove that her twin sister Isabels death was not a suicide The dead woman was a devout Catholic and Angela refuses to accept she would have taken her own life Shes asked Constantine for help because he has a reputation for dealing with the mystical In fact he is a demon hunter whose sole purpose on Earth is to send demons back to the nether regions John himself has been to Hell and knows that he is destined to return there on his death - but hopes his good deeds may find him a place in Heaven As he looks into Isabels death he realizes demons are trying to break through to the human world and his battles lead him into a direct conflict with Satan,English; Filipino; Tagalog,USA; Germany,2 wins & 9 nominations,7.0/10,46%,50/100,50,7,movie,"$75,400,000",Warner Bros. Pictures
The Cave,2005,PG-13,Fri Aug 26 2005 00:00:00 GMT-0400 (EDT),97 min,Adventure; Horror; Thriller,Bruce Hunt,Cole Hauser; Eddie Cibrian; Morris Chestnut; Lena Headey,Decades after a rock church in communist Romanias Carpathians caved when an expedition caused a landslide and buried everyone Dr Nicolais scientific team exploring the associated Templar Knights monster fighting-legend discovers a deep flooded cave system and hires the brothers Jack and Tylers brilliant divers team to explore it Another explosion traps them after finding a mysterious parasite turning all species carnivore and later an independently evolved predator species Jack may be infected and turning but Tyler sticks with him so the group splits hunted by the monsters which also fly,English; Romanian,USA; Germany; Romania,N/A,5.1/10,11%,30/100,30,5.1,movie,"$14,888,028",Screen Gems
Duck,2005,PG-13,Fri May 11 2007 00:00:00 GMT-0400 (EDT),96 min,Drama,Nicole Bettauer,Philip Baker Hall; Buckley Sampson; Jim Thalman; Amy Hill,A blighted Los Angeles in 2009 Arthur is recently widowed his savings wiped out by his wifes illness Their only son is long dead Alone Arthur adopts and is adopted by a duckling he names Joe Saved from suicide Arthurs life becomes caring for Joe and keeping clean a pond on land near his sons memorial tree Homelessness awaits Arthur and although he experiences a great deal of unkindness - from a bus driver motorists and animal control officers - he also offers and finds kindness The pond drained Arthur and Joe head west on a picaresque journey Is there room for angels in Los Angeles?,English,USA,1 win,6.0/10,50%,53/100,53,6,movie,N/A,Right Brained Releasing
Daltry Calhoun,2005,PG-13,Sun Sep 25 2005 00:00:00 GMT-0400 (EDT),100 min,Comedy; Drama; Music,Katrina Holden Bronson,Elizabeth Banks; Johnny Knoxville; Beth Grant; Laura Cayouette,The Knoxville Tennessee-set film written by Bronson is a dark comedy about a father (Knoxville) struggling to keep his once lucrative Tennessee golfing empire intact when his estranged 14-year-old daughter (a gifted musician) is unexpectedly left in his care,English,USA,1 nomination,5.2/10,7%,30/100,30,5.2,movie,N/A,Miramax Films
Enron: The Smartest Guys in the Room,2005,NOT RATED,Fri May 20 2005 00:00:00 GMT-0400 (EDT),110 min,Documentary,Alex Gibney,John Beard; Tim Belden; Barbara Boxer; George W. Bush,Enron dives from the seventh largest US company to bankruptcy in less than a year in this tale told chronologically The emphasis is on human drama from suicide to 20000 people sacked: the personalities of Ken Lay (with Falwellesque rectitude) Jeff Skilling (he of big ideas) Lou Pai (gone with $250 M) and Andy Fastow (the dark prince) dominate Along the way we watch Enron game Californias deregulated electricity market get a free pass from Arthur Andersen (which okays the dubious mark-to-market accounting) use greed to manipulate banks and brokerages (Merrill Lynch fires the analyst who questions Enrons rise) and hear from both Presidents Bush what great guys these are,English,USA,Nominated for 1 Oscar Another 3 wins & 10 nominations,7.7/10,97%,N/A,N/A,7.7,movie,"$3,886,956",Magnolia Pictures
The Fog,1980,R,Fri Feb 08 1980 00:00:00 GMT-0500 (EST),89 min,Horror; Thriller,John Carpenter,Adrienne Barbeau; Jamie Lee Curtis; Janet Leigh; John Houseman,As the centennial of the small town of Antonio Bay California approaches paranormal activity begins to occur at midnight 100 years ago the wealthy leper Blake bought the clipper ship Elizabeth Dane and sailed with his people to form a leper colony However while sailing through a thick fog they were deliberately misguided by a campfire onshore steering the course of the ship toward the light and crashing it against the rocks While the towns residents prepare to celebrate the victims of this heinous crime that the towns founders committed rise from the sea to claim retribution Under cover of the ominous glowing fog they carry out their vicious attacks searching for what is rightly theirs,English,USA,1 win & 2 nominations,6.8/10,71%,52/100,52,6.8,movie,N/A,AVCO Embassy Pictures
The Chumscrubber,2005,R,Thu Oct 05 2006 00:00:00 GMT-0400 (EDT),108 min,Comedy; Drama,Arie Posin,Jamie Bell; Camilla Belle; Justin Chatwin; Glenn Close,The Chumscrubber starts out with Troy a normal teenager who supplies feel good pills to everyone in his high school (this way he spreads happiness all around) But when his friend Dean pays him a visit Dean discovers Troy has hanged himself in his bedroom during one of his mothers pool parties After the death three local teens: Billy Lee and Crystal want whats left of Troys stash of pills and they know that Dean is the only one who knows where they are But when Dean refuses to get the pills the three teens kidnap Deans little brother until they realize theyve kidnapped the wrong kid,English,USA; Germany,1 nomination,7.0/10,36%,41/100,41,7,movie,N/A,Picturehouse
Everything Is Illuminated,2005,PG-13,Fri Oct 14 2005 00:00:00 GMT-0400 (EDT),106 min,Comedy; Drama,Liev Schreiber,Eugene Hutz; Elijah Wood; Jonathan Safran Foer; Jana Hrabetova,Jewish-American writer Jonathan Safran Foer is a collector of his familys memorabilia although most of the items some which he takes without asking would not be considered keepsakes by the average person He places most of those items in individual Ziploc bags and hangs them on his keepsake wall under the photograph of the person to who it is most associated He has this compulsion in an effort to remember He is able to tie a photograph that he receives from his grandmother Sabine Foer on her deathbed - it of his grandfather Safran Foer during the war in the Ukraine and a young woman he will learn is named Augustine - back to a pendant he stole from his grandfather on his deathbed in 1989 the pendant of a glass encased grasshopper Learning that Augustine somehow saved his grandfathers life leads to Jonathan going on a quest to find out the story at its source where the photograph was taken in a now non-existent and probably largely forgotten town called Trachimbrod that was razed by the Nazis during the war he armed only with his limited knowledge the pendant his grandfathers Star of David necklace the photograph tip money and an old and largely outdated map Prior to arriving in the Ukraine Jonathan prearranges the guide services of Odessa-based Heritage Tours which specializes in helping Jewish expats discover their past The company is owned and operated by three generations of the Alexander Perchov family who generally think Jewish people are stupid for wanting to revisit their past and spend large sums of money for their services in doing so The three from Heritage assigned to Jonathans file are: the company founder Alexander I (Grandpa) the retired non-blind blind man who will be the driver his seeing eye dog Sammy Davis Jr Jr a deranged bitch of a dog and Alexander III (Alex) a western pop cultural loving young man whose broken English will need to suffice for translation Jonathan will learn that his guides are a loving but dysfunctional lot who have little interest in helping him beyond taking his money But during their time together this quest will affect Jonathan Grandpa and Alex in different ways all tied to the value of remembering,English; Russian; Ukrainian,USA,7 wins & 4 nominations,7.5/10,66%,58/100,58,7.5,movie,"$1,644,300",Warner Independent Pictures
Dominion: Prequel to the Exorcist,2005,R,Fri May 20 2005 00:00:00 GMT-0400 (EDT),117 min,Drama; Horror; Thriller,Paul Schrader,Stellan Skarsgård; Gabriel Mann; Clara Bellar; Billy Crawford,Lankester Merrin is a archaeologist by profession but an ordained Roman Catholic priest who has lost his faith and abandoned his vocation He is haunted by what he was forced to do in his native Holland during World War II The church hes excavated in Northern Kenyan dates to the Byzantine period but this puts its construction hundreds of years before Christianity was introduced to the area the church was buried to the rooftop in sand and as its structure is exposed a madness slowly descends on the camp the local tribesmen are prepared to go to war and demand that the church be buried Soon two British soldiers are found dead and their commanding officer Major Granville shoots a innocent civilian in cold blood As fear descends upon everyone in the camp it becomes apparent that a young disabled boy Cheche is possessed by the devil forcing Merrin to re-examine his own beliefs,English,USA,3 nominations,5.3/10,30%,55/100,55,5.3,movie,N/A,Warner Bros.
Boogeyman,2005,PG-13,Fri Feb 04 2005 00:00:00 GMT-0500 (EST),89 min,Drama; Horror; Mystery,Stephen Kay,Barry Watson; Emily Deschanel; Skye McCole Bartusiak; Tory Mussett,Every culture has one - The horrible monster fueling young childrens nightmares But for Tim the BOGEYMAN still lives in his memories as a creature that devoured his father 16 years earlier Is the BOGEYMAN real? Or did Tim make him up to explain why his father abandoned his family? The answer lies hidden behind every dark corner and half-opened closet of his childhood home - A place he must return to and face the chilling unanswered questions Does the BOGEYMAN really exist?,English,USA; New Zealand; Germany,N/A,4.2/10,13%,32/100,32,4.2,movie,"$46,363,118",Screen Gems
Chicken Little,2005,G,Fri Nov 04 2005 00:00:00 GMT-0500 (EST),81 min,Animation; Adventure; Comedy,Mark Dindal,Zach Braff; Garry Marshall; Don Knotts; Patrick Stewart,After Chicken Little causes widespread panic--when he mistakes a falling acorn for a piece of the sky--the young chicken is determined to restore his reputation But just as things are starting to go his way a real piece of the sky lands on his head Chicken Little and his band of misfit friends Abby Mallard (aka Ugly Duckling) Runt of the Litter and Fish Out of Water attempt to save the world without sending the town into a whole new panic,English,USA,4 wins & 15 nominations,5.8/10,37%,48/100,48,5.8,movie,"$135,289,768",Buena Vista Pictures
Diary of a Mad Black Woman,2005,PG-13,Fri Feb 25 2005 00:00:00 GMT-0500 (EST),116 min,Comedy; Drama; Romance,Darren Grant,Kimberly Elise; Steve Harris; Tyler Perry; Shemar Moore,Helen McCarter has everything a woman wants: a nice house and rich husband However after her husband Charles throws her out of the house after admitting to an affair a distraught Helen turns to her mother grandmother Madea and cousin Brian who take her in and turn back to God Helen learns for the first time in her life to stand up on her two feet and is ready to remove herself from her relationship with Charles and move on with Orlando But when her husband is almost killed by a vengeful client Helen wonders if she has the heart to forgive him despite everything,English,USA,13 wins & 13 nominations,5.7/10,16%,36/100,36,5.7,movie,"$50,382,128",Lions Gate Films
Charlie and the Chocolate Factory,2005,PG,Fri Jul 15 2005 00:00:00 GMT-0400 (EDT),115 min,Adventure; Comedy; Family,Tim Burton,Johnny Depp; Freddie Highmore; David Kelly; Helena Bonham Carter,When Willy Wonka decides to let five children into his chocolate factory he decides to release five golden tickets in five separate chocolate bars causing complete mayhem The tickets start to be found with the fifth going to a very special boy called Charlie Bucket With his Grandpa Charlie joins the rest of the children to experience the most amazing factory ever But not everything goes to plan within the factory,English,USA; UK; Australia,Nominated for 1 Oscar Another 14 wins & 50 nominations,6.7/10,82%,72/100,72,6.7,movie,"$206,100,000",Warner Bros. Pictures
Casanova,2005,R,Fri Jan 06 2006 00:00:00 GMT-0500 (EST),112 min,Adventure; Comedy; Drama,Lasse Hallström,Heath Ledger; Sienna Miller; Jeremy Irons; Oliver Platt,Casanova is in love with Francesca who thinks he is a friend of himself even though he is engaged to Victoria who is the love of Giovanni Francescas brother Francesca is betrothed to Paprizzio who thinks Casanova is the feminist writer Guardi who is really Francesscas nomme de plume Amidst all these secret identities and misunderstandings the Catholic Church sends Pucci to bring Casanova and Guardi to trial for heresy,English,USA,5 wins & 3 nominations,6.5/10,44%,57/100,57,6.5,movie,"$11,193,738",Buena Vista Pictures
Cursed,2005,PG-13,Fri Feb 25 2005 00:00:00 GMT-0500 (EST),97 min,Comedy; Horror,Wes Craven,Portia de Rossi; Mya; Shannon Elizabeth; Kristina Anapau,Ellie has been taking care of her younger brother Jimmy since their parents death One night after picking him up from a party they are involved in a car accident on Mullholland Drive While trying to rescue a woman from the other car a creature attacks and kills her also injuring both Ellie and Jimmy After some research Jimmy realizes the creature could only have been a werewolf,English,Germany; USA,3 nominations,5.0/10,N/A,31/100,31,5,movie,N/A,N/A
Bee Season,2005,PG-13,Wed Nov 23 2005 00:00:00 GMT-0500 (EST),104 min,Drama,Scott McGehee; David Siegel,Richard Gere; Juliette Binoche; Flora Cross; Max Minghella,Living in Oakland California the Naumanns are outwardly a loving supportive family Husband and father Saul Naumann is a Religious Studies professor and looks to his religious training in Judaism as tenets for his family to live He has high expectations for all members of his family His mid-teen son Aaron Naumann idolizes his father and does whatever he can to please him His pre-teen daughter Eliza Naumann often feels the neglected child So when Saul eventually learns that Eliza is participating and excelling in spelling bees she becomes the focus of his life as he believes that letters in the form of words will lead to answers to the universe That change in focus to Eliza makes Aaron now feel the neglected one he who strikes out quietly in his own way with the help of Chali a young woman he meets But the person who has felt the most pressure within Sauls way of life is his wife Miriam Naumann a microbiologist She converted from Catholicism to Judaism when she and Saul married But as Saul espouses the concept of tikkun olam bringing together the shards of the world to make it whole it affects Miriam negatively in trying to cope with an incident from her childhood Through it all Eliza may understand her fathers way of life the best and use it in a way unexpected to bring the family back together,English; Hebrew,USA; Germany,1 nomination,5.5/10,42%,54/100,54,5.5,movie,"$1,100,000",Fox Searchlight Pictures
Capote,2005,R,Fri Feb 03 2006 00:00:00 GMT-0500 (EST),114 min,Biography; Crime; Drama,Bennett Miller,Allie Mickelson; Kelci Stephenson; Philip Seymour Hoffman; Craig Archibald,Famed writer Truman Capote southern born and bred but now part of the New York City social circle is growing weary of his current assignment of writing autobiographical type pieces for the New Yorker After reading a newspaper article about the just occurred November 14 1959 cold blooded murders of the Clutter family in their rural Kansas home Truman feels compelled to write about that event as his next article So he and his personal assistant Nelle Harper Lee also a southern born New Yorker and an aspiring writer of her own head to Kansas to research the story first-hand Truman hopes to use his celebrity status to gain access to whomever he needs such as to Laura Kinney a friend of the Clutter daughter she who discovered the bodies and to Alvin Dewey the lead police investigator and also a Clutter family friend If his celebrity doesnt work Truman will grease the wheels by whatever means necessary When the police eventually charge suspects two young men named Dick Hickcock and Perry Smith Truman uses those same tactics to gain access to them Trumans fascination with the story makes him believe that he can revolutionize writing by expanding the germ of the article into what he calls a non-fiction novel His personal involvement also changes as he grows emotionally attached to Perry the seemingly sensitive and thus probable submissive in the criminal pairing thus Truman becoming part of the story itself Article or non-fiction novel Truman knows that he has to take it to its natural conclusion something which he cannot force But also missing are the details of the November 14 1959 event itself something that neither Dick or Perry have divulged even in testimony,English,USA; Canada,Won 1 Oscar Another 58 wins & 86 nominations,7.4/10,90%,88/100,88,7.4,movie,"$28,337,516",Sony Pictures Classics
Derailed,2005,R,Fri Nov 11 2005 00:00:00 GMT-0500 (EST),108 min,Crime; Drama; Thriller,Mikael Håfström,Vincent Cassel; Clive Owen; Addison Timlin; Melissa George,Charles is worn down by his home life where he and his wife struggle to cope with the demands of their daughters illness and his job When he meets Lucinda on the train to work in Chicago there is an immediate spark between them Soon they are doing lunch dinner and drinks follow This leads to an adulterous rendezvous in a hotel However no sooner have they torn each others clothes off than their room is invaded by a thief who beats Charles and rapes Lucinda Because of the illicit nature of their relationship Charles agrees with Lucinda who is reluctant to go to the police and soon finds he is powerless to resist the demands of the thief,English; French,USA; UK,N/A,6.6/10,21%,40/100,40,6.6,movie,"$35,945,749",The Weinstein Company
Coach Carter,2005,PG-13,Fri Jan 14 2005 00:00:00 GMT-0500 (EST),136 min,Biography; Drama; Sport,Thomas Carter,Samuel L. Jackson; Rob Brown; Robert Ri'chard; Rick Gonzalez,In 1999 Ken Carter accepts the job of basketball coach for his old high school in a poor area of Richmond CA As much dismayed by the poor attitudes of his players as well as their dismal play performance Carter sets about to change both He imposes a strict regime typified in written contracts that demand respectful behavior a dress code and good grades for players Any initial resistance is soon dispelled as the team under Carters tutelage becomes a undefeated competitor However when the overconfident teams behavior begins to stray with too many doing poorly in class Carter takes immediate action To the outrage of the team the school and the community Carter cancels all team activities and locks the court until the team shows acceptable academic improvement In the ensuing debate Carter fights to keep his methods determined to show the boys that they need good values for their futures and eventually finds he has affected them more profoundly than he ever expected,English,USA; Germany,3 wins & 15 nominations,7.3/10,64%,57/100,57,7.3,movie,"$67,169,549",Paramount Pictures
Elizabethtown,2005,PG-13,Fri Oct 14 2005 00:00:00 GMT-0400 (EDT),123 min,Comedy; Drama; Romance,Cameron Crowe,Orlando Bloom; Kirsten Dunst; Susan Sarandon; Alec Baldwin,After causing a loss of almost one billion dollars in his company the shoe designer Drew Baylor decides to commit suicide However in the exact moment of his act of despair he receives a phone call from his sister telling him that his beloved father had just died in Elizabethtown and he should bring him back since his mother had problem with the relatives of his father He travels in an empty red eye flight and meets the attendant Claire Colburn who changes his view and perspective of life,English,USA,2 wins & 4 nominations,6.4/10,29%,45/100,45,6.4,movie,"$26,838,389",Paramount Pictures
