common_title,poster_path,videoKey,vote_count,original_title,popularity,vote_average,original_language,adult,id,release_date,overview,backdrop_path,genre_ids,video,title
The Cave,/6UE07AsyGzhiI6mcidlIiAkHlX0.jpg,Q5AHUMpBtCE,262,The Cave,5.875912,5.1,en,False,9042,2005-08-25,"After a group of biologists discovers a huge network of unexplored caves in Romania and, believing it to be an undisturbed eco-system that has produced a new species, they hire the best American team of underwater cave explorers in the world. While exploring deeper into the underwater caves, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.",/tVhb5riMg1oqIkRhOqMjLAHqy2j.jpg,,False,The Cave
Charlie and the Chocolate Factory,/dvHl1dYvaZRhj9Gk0ITcCHr4DIJ.jpg,FZkIlAEbHi4,5099,Charlie and the Chocolate Factory,28.195283,6.8,en,False,118,2005-07-13,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",/mrRAx1OsNVEKJv0ktQprspieqnS.jpg,,False,Charlie and the Chocolate Factory
Cheaper by the Dozen 2,/ftrEtXOMnYzF5k14tBJiS3MYby2.jpg,OnLlLwEflHI,671,Cheaper by the Dozen 2,10.842417,5.8,en,False,9641,2005-12-21,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",/nNvReK5QSyygLQDLcaxhrXa8eR0.jpg,,False,Cheaper by the Dozen 2
Chicken Little,/iLMALbInUmbNn1tHmxJEWm5MyjP.jpg,PPuk2JQgMkU,1242,Chicken Little,14.694868,5.7,en,False,9982,2005-11-04,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",/tsuO7UaOZGY1Lm6LeQgpSuJq0Y.jpg,,False,Chicken Little
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",/l8RKDgjl9co0IgFZblxhtIOi5Uj.jpg,ruGHxmjQ180,3516,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",28.034173,6.8,en,False,411,2005-12-07,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",/4ZwXJcUT3KdE8Kan9TJ7l0Rg5LG.jpg,,False,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
The Chumscrubber,/g3q6q3d9OLu2woA1uvnMBmfVuO3.jpg,Fjj2WZh8pco,77,The Chumscrubber,5.11802,6.7,en,False,13919,2005-06-08,"The Chumscrubber is a dark comedy about the lives of people who live in upper-class suburbia. It all begins when Dean Stiffle finds the body of his friend, Troy. He doesn't bother telling any of the adults because he knows they won't care. Everyone in town is too self consumed to worry about anything else than themselves. And everybody is on some form of drug just to get through their days.",/cseoeSvVG7u5Oqg78zF823TRyoS.jpg,,False,The Chumscrubber
Cinderella Man,/xZhumK43Z6jmwCWglh7uHcpkqdb.jpg,DlbHzcH4VJY,778,Cinderella Man,17.947455,7.3,en,False,921,2005-06-02,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",/ozvvHdadtBYpExCwAjsNPSjV6hT.jpg,,False,Cinderella Man
Coach Carter,/8c6BeOIrDStz2aiPceYdI5sd9pL.jpg,nOFhHEepF4s,625,Coach Carter,8.37846,7.3,en,False,7214,2005-01-14,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",/qgmcpz4ZyDxtAOTvqN6oIpBez7d.jpg,,False,Coach Carter
Constantine,/qYTerimWp1t1zSEKknn9mByhwbX.jpg,oU4moy3Wz4c,2232,Constantine,13.449732,6.6,en,False,561,2005-02-08,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",/bGXup8uvaIrp6mLisZ8AJtl6DNA.jpg,,False,Constantine
Corpse Bride,/o9GbcdP7rOg2m1NyUnUR3ZwNcTE.jpg,AGACeWVdFqo,2597,Corpse Bride,21.994675,7.3,en,False,3933,2005-09-12,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",/mlfoltX46WG4FqdKy92hiOq33qO.jpg,,False,Corpse Bride
The Crow: Wicked Prayer,/1AYc6lZqLp75CqMUlWRHRzF0Dgr.jpg,ID1yRaF7UhQ,54,The Crow IV: Wicked Prayer,4.954933,2.9,en,False,16456,2005-05-13,"Jimmy Cuervo is a down-on-his-luck ex-con living in a polluted mining town on a reservation that would run him out of town if not for the remainder of his probation. With his time nearly finished, he plans to start a new life with his girlfriend Lily , and leave the town for good. But Luc Crash and Lola Byrne head up a local gang of local Satanists who murder Jimmy and Lily in a brutal ritual.",/brC3EsRzyt0478vuBzFWz6gNkjR.jpg,,False,The Crow IV: Wicked Prayer
Cruel World,/uPee6Nq6IxIOnG9KYnY5kxZP2cw.jpg,,7,Cruel World,1.88755,4.5,en,False,44250,2005-09-01,"Millions witnessed Philip Markham's public humiliation when he got dumped by Catherine, the beautiful star of a popular dating show, and now - several years and reality series later - he wants revenge. After taking Catherine captive, he lures nine unsuspecting co-eds to her luxurious mansion in the middle of nowhere, trapping the contestants in his own sick version of reality TV - where the challenges are bizarre, the danger is real and death is just a competition away.",/zWrWiMgVFxyNe21W6XoK2lVxJfT.jpg,,False,Cruel World
Cry_Wolf,,,0,Cry_Wolf_Movie,1.016493,0,en,False,339697,2015-02-26,"As if sex addicts weren't aggressive enough, it seems some of them have a thirst for blood as intense as their taste for tail. This off-kilter short film follows the life and slaughter of a few unbelieving souls and one girls mission to hunt the hunters and get off in a different kind of way.",,,False,Cry_Wolf_Movie
Cursed,/pxNMDLvgk0XhYZHBeJ3i0t6p3Tl.jpg,VeEkAdt1GCs,208,Cursed,6.806589,5.1,en,False,10012,2005-02-25,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",/e7Bv7IlzzaZpBJGtsTCYeHswtsZ.jpg,,False,Cursed
Daltry Calhoun,/7aWn7l8GftSgtlcP4JH1PzSVQ5e.jpg,uuVYUb6GCl4,9,Daltry Calhoun,4.040981,5.2,en,False,20668,2005-09-25,"In small town Tennessee, a ne'er-do-well man (Knoxville) wrestling for control over his fading golf club is reunited with his estranged daughter, a 14-year-old musical prodigy.",/1udZd4D7G4a7jcN38zScHuBoKMF.jpg,,False,Daltry Calhoun
Dark Water,/62Gtqvje0qhTBTBoDxJRMPePyHM.jpg,t24DuU9TXRM,335,Dark Water,7.84076,5.3,en,False,9009,2005-07-08,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. She is currently in midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in her daughter's bedroom.",/emR9beEMZoxeyVV8cb4628BVBTc.jpg,,False,Dark Water
Deepwater,/7D6hM7IR0TbQmNvSZVtEiPM3H5h.jpg,S-UPJyEHmM0,1870,Deepwater Horizon,13.774743,6.6,en,False,296524,2016-09-29,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",/1R2wRq5aZJHMmg3gUlqw2uSdj2t.jpg,,False,Deepwater Horizon
Derailed,/inBGQGHUUFAmt9nINRAdTUBkmQN.jpg,pAdJsfL8jGE,62,Derailed,19.801361,3.9,en,False,17774,2002-05-19,"NATO operative Jacques Kristoff (Jean-Claude Van Damme) is summoned into action—on his birthday, no less—to track down Galina Konstantin (Laura Harring), who has stolen an extremely valuable and dangerous top-secret container from the Slovakian Government.  Finding Galina doesn't take long, and Jacques must wrap up the mission by returning Galina and the contraband to his superiors by train.  Things seem to be going smoothly as Jacques and Galina board the train posing as a couple, but soon all hell breaks loose.",/rV46qlkoQZC5phwWGtQkk92r5j6.jpg,,False,Derailed
The Derby Stallion,/nsavmYtRWUF5uG9QUXAHuRXJ5V1.jpg,,13,The Derby Stallion,3.257657,4.9,en,False,19183,2005-07-04,An alcoholic former horse-trainer perceives in a fifteen-year-old boy a unique gift of horsemanship and makes it possible for the boy to conceive his dream and pursue it.,,,False,The Derby Stallion
Deuce Bigalow: European Gigolo,/1P8fWex0NzgtPE4cgIUDHrVSARM.jpg,NlsISs23Qfs,273,Deuce Bigalow: European Gigolo,6.557648,4.7,en,False,11453,2005-08-12,Deuce Bigalow goes to Amsterdam after a little accident including two irritating kids and a bunch of aggressive dolphins. There he meets up with his old friend T.J. Hicks. But a mysterious killer starts killing some of Amsterdam's finest gigolos and T.J. is mistaken for the extremely gay murderer. Deuce must enter the gigolo industry again to find the real murderer and clear T.J.'s name.,/9r6hn0oASpT89WDjsJ4U10Bh0Dn.jpg,,False,Deuce Bigalow: European Gigolo
The Devil's Rejects,/jSWt4aJizmXmPXV3SBQGTWhwuCB.jpg,sMYQP5uRMkY,409,The Devil's Rejects,8.788947,6.6,en,False,1696,2005-07-22,"The sequel to House of 1000 Corpses – the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing – yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.",/fmo48Lt8XtMWeHeXJzi5SbPCJud.jpg,,False,The Devil's Rejects
Diary of a Mad Black Woman,/dB2WX5romhtjQ0uF2ma6yedRd54.jpg,1zjWNnchvN4,79,Diary of a Mad Black Woman,5.491312,6.3,en,False,16186,2005-02-25,"Charles McCarter and his wife Helen are about to celebrate their 18th-wedding anniversary when Helen comes home to find her clothes packed up in a U-Haul van parked in the driveway. Charles is divorcing Her. Helen moves in with her grandmother Madea, an old woman who doesn't take any lip from anyone. Madea helps Helen through these tough times by showing her what is really important in life.",/pNMbgA8x9Z6yowhKiOnFgWug7oi.jpg,,False,Diary of a Mad Black Woman
Dirty Love,/sIL9KdV48dTzgGiLDRbJXSPbQ3R.jpg,e0-DoQE15mQ,28,Dirty Love,3.154579,4.8,en,False,18189,2005-09-23,"A modern day Cinderella story which sees disaster prone Rebecca embark on a journey in search of true love. Betrayed by her boyfriend, Richard and following a palm reader's psychic prophecy, Rebecca goes in search of her one true soul mate.",/AbvEFKG3TP4yqsiQFr4gEOSc4HE.jpg,,False,Dirty Love
Dominion: Prequel to the Exorcist,/3jIQOCB8ghrxvfWzSjzNv41LR9P.jpg,MVODGSW_oxA,86,Dominion: Prequel to the Exorcist,6.174609,4.7,en,False,12700,2005-05-20,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon.",/t9nWzNIVohUYp1qEJo2ECYq5MoF.jpg,,False,Dominion: Prequel to the Exorcist
Domino,/hD1PBfaTmNXKeDzWbaMtlIqKD4P.jpg,6Of0gxSz8Vk,532,Domino,8.754308,5.9,en,False,9923,2005-09-22,"The daughter of actor, Laurence Harvey turns away from her career as a Ford model to become a bounty hunter.",/6Epyr9UJV4J1ptql7IyV6ni0N0h.jpg,,False,Domino
Don't Come Knocking,/d8V2e0vQRfgMpLLz8RWpmfMNGlo.jpg,j_8d8LeQd3E,25,Don't Come Knocking,3.143119,6.4,en,False,3527,2005-05-19,"Howard Spence has seen better days. Once a big Western movie star, he now drowns his disgust for his selfish and failed life with alcohol, drugs and young women. If he were to die now, nobody would shed a tear over him, that's the sad truth. Until one day Howard learns that he might have a child somewhere out there...",/ndO4AIGwb81oNmjHjcvEuzF2RDM.jpg,,False,Don't Come Knocking
Doom,/7oZj7PCNh3G8xo9xs33suIpubv8.jpg,LljkKoPs1Gg,717,Doom,9.544166,5,en,False,8814,2005-10-20,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",/8PV8cLmcANo5Jx4EBipD60kET8X.jpg,,False,Doom
Dreamer,/7DCZ2oPOIM26QNS8tISLE1C9LRG.jpg,zodb6u4C9yY,2,Dreamer,1.639497,3,en,False,171709,2013-03-02,"Jesse Salmeron’s Dreamer opens a window into the reality of many who, because of one insurmountable obstacle, find it impossible to achieve their dreams. And by transcending racial lines, Joe’s story illuminates the immigration debate for what it is: a tragedy that affects all Americans.",/42DN4Cii6yVKl7leKYIqGzsL4I2.jpg,,False,Dreamer
Duck,/jy4DJN8pKmEz4UNjCGiFaJuMfDJ.jpg,bonpelSt2ME,213,Duck Soup,6.695127,7.6,en,False,3063,1933-11-17,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,/6WJ0bWaDD4lXBBlteDAOiXziIT9.jpg,,False,Duck Soup
The Dukes of Hazzard,/ts0KZTwWfpaPm4X6jaus3xBV8gN.jpg,eKH5J4F9zzc,403,The Dukes of Hazzard,7.148811,5.1,en,False,6519,2005-08-05,"Cousins, Bo and Luke Duke, with the help of their eye-catching cousin, Daisy and moonshine-running Uncle Jesse, try and save the family farm from being destroyed by Hazzard County's corrupt commissioner, Boss Hogg. Their efforts constantly find the 'Duke Boys' eluding authorities in 'The General Lee', their 1969 orange Dodge Charger that keeps them one step ahead of the dimwitted antics of the small southern town's Sheriff, Roscoe P. Coltrane.",/wb6XwD8z16nATOFlkGoPCVnbv6Y.jpg,,False,The Dukes of Hazzard
Duma,/51DifIBx53qRHNFgYuQJg03EFeL.jpg,bwebjc4mfYk,54,Duma,4.187339,7,en,False,15907,2005-04-22,An orphaned cheetah becomes the best friend and pet of a young boy living in South Africa.,/79lmfotVqntIVamh4Yor2DRoL34.jpg,,False,Duma
The Dying Gaul,/gtWJWWDFrmrSRWfKNCk6ERJh5VK.jpg,XKNF9AC9_nw,10,The Dying Gaul,2.81353,6.6,en,False,41189,2005-01-01,"A powerful and seductive Hollywood mogul convinces an impoverished West Hollywood writer, whose lover has recently died of AIDS, to sell his autobiographical screenplay for big bucks. The writer, Robert, knows he'll have to make major changes in the script (like changing the sex of the dying lover). During the rewrite, the producer, Jeffrey, takes Robert under his wing, introducing him to his wife Elaine, herself a closet screenwriter. Jeffrey approaches Robert for sex and Elaine approaches Robert out of curiosity about his sex life in grief. The entangled triangle of relationships threatens more than the completion of a film script. Written by",/gEUFA0I88Z2TeNnd627LiGLIRKv.jpg,,False,The Dying Gaul
Elektra,/dyvqAJs20UrqTJGOHtJ0tNbU54m.jpg,etfIjKxKzqw,738,Elektra,12.31542,4.8,en,False,9947,2005-01-13,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",/iFhGgSli19SEo1ZxZLSJ6sbr5kB.jpg,,False,Elektra
Elizabethtown,/Asn50mIjDaeDKbaJkQ7lY6goV8p.jpg,75TKB0299b0,407,Elizabethtown,5.626205,6.1,en,False,9621,2005-10-06,"Drew Baylor is fired after causing his shoe company to lose hundreds of millions of dollars. To make matters worse, he's also dumped by his girlfriend. On the verge of ending it all, Drew gets a new lease on life when he returns to his family's small Kentucky hometown after his father dies. Along the way, he meets a flight attendant with whom he falls in love.",/3iwNfRoESEM2aI5wXkNSeDeiWCW.jpg,,False,Elizabethtown
