Title,ReleaseDate,Genre,Rating
Corpse Bride,"September 16, 2005","Fantasy, Romance, Music, Animation",83
Cursed,"February 25, 2005","Thriller, Fantasy, Horror, Comedy",31
Daltry Calhoun,"September 23, 2005","Drama, Comedy",30
Dark Water,"July 8, 2005","Drama, Thriller, Horror",52
Deepwater Horizon,"September 30, 2016","Action, Drama, Thriller",68
Derailed,"November 11, 2005","Drama, Thriller",40
Deuce Bigalow: European Gigolo,"August 12, 2005",Comedy,23
Diary of a Mad Black Woman,"February 25, 2005","Drama, Comedy, Romance",36
Dirty Love,"September 23, 2005","Comedy, Romance",9
Dominion: Prequel to the Exorcist,"May 20, 2005","Thriller, Horror",55
Indiana Jones and the Temple of Doom,"May 23, 1984","Action, Adventure",57
The Dreamers,"February 6, 2004","Drama, History, Romance",62
Howard the Duck,"August 1, 1986","Action, Adventure, Sci-Fi, Comedy, Romance",28
The Dukes of Hazzard,"August 5, 2005","Action, Adventure, Comedy",33
Duma,"August 5, 2005","Adventure, Drama, Family",82
The Dying Gaul,"November 4, 2005","Drama, Romance",62
Elektra,"January 14, 2005","Action, Adventure, Fantasy",34
Elizabethtown,"October 14, 2005","Drama, Comedy, Romance",45
Enron: The Smartest Guys in the Room,"April 22, 2005",Documentary,82
Everything Is Illuminated,"September 16, 2005","Drama, Comedy",58
The Exorcism of Emily Rose,"September 9, 2005","Drama, Thriller, Horror, Crime",46
The Family Stone,"December 16, 2005","Drama, Comedy, Romance",56
Fantastic Four,"August 7, 2015","Action, Adventure, Sci-Fi, Fantasy",27
Favela Rising,"June 2, 2006",Documentary,65
Fever Pitch,"April 8, 2005","Drama, Sport, Comedy, Romance",56
First Descent,"December 2, 2005","Sport, Documentary",51
Flightplan,"September 23, 2005","Drama, Mystery, Thriller",53
The Green Fog,"January 4, 2018",Mystery,79
Forty Shades of Blue,"September 28, 2005",Drama,74
Four Brothers,"August 12, 2005","Action, Drama, Mystery, Thriller, Crime",49
Fun with Dick and Jane,"December 21, 2005","Comedy, Crime",47
The Game of Their Lives,"April 22, 2005","Drama, History, Sport",47
Get Rich or Die Tryin',"November 9, 2005","Biography, Drama, Crime, Music",45
Goal! The Dream Begins,"May 12, 2006","Drama, Sport",53
The Visual Bible: The Gospel of John,"November 14, 2003","Biography, Drama, History",52
"Good Night, and Good Luck.","October 7, 2005","Drama, History",80
The Great Raid,"August 12, 2005","Action, Drama, War",48
The Greatest Game Ever Played,"September 30, 2005","Drama, History, Sport",55
Green Street Hooligans,"September 9, 2005","Drama, Crime",55
Grizzly Man,"August 12, 2005","Biography, Documentary",87
Guess Who,"March 25, 2005","Comedy, Romance",49
Happy Endings,"July 15, 2005","Drama, Thriller, Comedy, Music",57
Harry Potter and the Goblet of Fire,"November 18, 2005","Adventure, Mystery, Fantasy, Family",81
Herbie Fully Loaded,"June 22, 2005","Adventure, Sport, Fantasy, Comedy, Romance, Family",47
Hide and Seek,"January 28, 2005","Mystery, Thriller, Horror",35
A History of Violence,"September 23, 2005","Drama, Thriller, Crime",81
78/52: Hitchcock’s Shower Scene,"October 13, 2017",Documentary,74
The Honeymooners,"June 10, 2005","Drama, Comedy, Romance, Family",31
Hoodwinked!,"December 16, 2005","Mystery, Crime, Animation, Family",45
Hostage,"March 11, 2005","Action, Drama, Thriller, Crime",44
Hostel,"January 6, 2006","Mystery, Thriller, Horror",55
Mark Felt: The Man Who Brought Down the White House,"September 29, 2017","Biography, Drama, History, Thriller",49
House of Wax,"May 6, 2005","Thriller, Horror",41
Hustle & Flow,"July 22, 2005","Drama, Crime, Music",68
The Ice Harvest,"November 23, 2005","Drama, Thriller, Comedy, Crime",62
Ice Princess,"March 18, 2005","Drama, Sport, Comedy, Family",55
In Her Shoes,"October 7, 2005","Drama, Comedy, Romance",60
Mixed Nuts,"December 21, 1994","Drama, Mystery, Thriller, Comedy",14
Inside Deep Throat,"February 11, 2005","History, Documentary",64
The Interpreter,"April 22, 2005","Drama, Mystery, Thriller",62
Into the Blue,"September 30, 2005","Action, Adventure, Thriller, Crime",45
Kong: Skull Island,"March 10, 2017","Action, Adventure, Sci-Fi, Fantasy",62
Full Metal Jacket,"June 26, 1987","Action, Drama, War",76
Jarhead,"November 4, 2005","Biography, Drama, War",58
Junebug,"August 3, 2005","Drama, Comedy",80
Just Friends,"November 23, 2005","Comedy, Romance",47
Just Like Heaven,"September 16, 2005","Fantasy, Comedy, Romance",47
Kicking and Screaming,"October 6, 1995","Drama, Comedy",75
Kids in America,"October 21, 2005","Drama, Comedy",38
King Kong,"December 14, 2005","Adventure, Drama, Romance",81
Kingdom of Heaven,"May 6, 2005","Action, Adventure, History",63
Kiss Kiss Bang Bang,"October 21, 2005","Mystery, Thriller, Comedy, Crime",72
The L.A. Riot Spectacular,"August 11, 2006",Comedy,0
Land of the Dead,"June 24, 2005","Sci-Fi, Thriller, Horror",71
Lassie,"September 1, 2006","Adventure, Drama, Comedy, Family",84
Last Days in Vietnam,"September 5, 2014","History, War, Documentary",86
The Legend of Zorro,"October 28, 2005","Action, Adventure, Western",47
Lonesome Jim,"March 24, 2006","Drama, Comedy",54
Mumia: Long Distance Revolutionary,"February 1, 2013",Documentary,41
The Longest Yard,"May 27, 2005","Drama, Sport, Comedy",48
Lord of War,"September 16, 2005","Drama, Thriller, Crime",62
Lords of Dogtown,"June 3, 2005","Biography, Drama, Sport",56
The Lost City of Z,"April 14, 2017","Action, Adventure, Biography, Drama, History",78
A Lot Like Love,"April 22, 2005","Drama, Comedy, Romance",48
Mad Hot Ballroom,"May 13, 2005","Music, Family, Documentary",71
Madagascar,"May 27, 2005","Adventure, Comedy, Animation, Family",57
Early Man,"February 16, 2018","Adventure, Fantasy, Comedy, Animation, Family",68
Mark Felt: The Man Who Brought Down the White House,"September 29, 2017","Biography, Drama, History, Thriller",49
Marilyn Hotchkiss' Ballroom Dancing & Charm School,"March 31, 2006","Drama, Comedy, Romance, Musical",40
O Matador,"November 10, 2017",Western,0
Match Point,"December 28, 2005","Drama, Sport, Thriller, Romance, Crime",72
Me and You and Everyone We Know,"June 17, 2005","Drama, Comedy",76
Memoirs of a Geisha,"December 9, 2005","Drama, Romance",54
MirrorMask,"September 30, 2005","Adventure, Drama, Fantasy, Family",55
Miss Congeniality 2: Armed & Fabulous,"March 24, 2005","Action, Comedy, Crime",34
Monster-in-Law,"May 13, 2005","Comedy, Romance",31
The Mostly Unfabulous Social Life of Ethan Green,"June 16, 2006","Comedy, Romance",38
Mr. & Mrs. Smith,"June 10, 2005","Action, Thriller, Comedy, Romance",55
Mrs Palfrey at The Claremont,"November 25, 2005","Drama, Comedy",67
Munich,"December 23, 2005","Drama, History, Thriller",74
Murderball,"July 8, 2005","Sport, Documentary",87
Must Love Dogs,"July 29, 2005","Comedy, Romance",46
Nanny McPhee,"January 27, 2006","Fantasy, Comedy, Family",59
Never Been Thawed,"October 7, 2005",Comedy,41
The New World,"December 25, 2005","Adventure, Biography, Drama, History, Romance",69
New York Doll,"October 28, 2005","Music, Documentary",72
Nine Lives,"August 5, 2016","Fantasy, Comedy, Family",11
North Country,"October 14, 2005",Drama,68
The Pacifier,"March 4, 2005","Action, Drama, Thriller, Comedy, Family",30
A Perfect Man,"November 1, 2013",Drama,31
Popstar: Never Stop Never Stopping,"June 3, 2016","Comedy, Music",68
Pretty Persuasion,"August 12, 2005","Drama, Comedy",45
Marjorie Prime,"August 18, 2017","Sci-Fi, Drama, Mystery, Comedy",82
"The Prize Winner of Defiance, Ohio","September 30, 2005","Biography, Drama",58
The Producers (re-release),"June 7, 2002",Comedy,97
Proof,"September 16, 2005",Drama,64
Racing Stripes,"January 14, 2005","Adventure, Drama, Sport, Comedy, Family",43
Rebound,"July 1, 2005","Sport, Comedy, Family",36
Red Eye,"August 19, 2005",Thriller,71
Rent,"November 23, 2005","Drama, Romance, Musical",53
The Ring Two,"March 18, 2005","Drama, Mystery, Thriller, Horror",44
Dead Ringers,"September 23, 1988","Drama, Thriller, Romance",86
Rize,"June 24, 2005","Music, Documentary",74
Robots,"March 11, 2005","Adventure, Sci-Fi, Comedy, Romance, Animation, Family",64
Roll Bounce,"September 23, 2005","Drama, Comedy, Romance, Music",59
Rumor Has It...,"December 25, 2005","Comedy, Romance",35
Sahara,"April 8, 2005","Action, Adventure, Comedy",41
Sarah Silverman: Jesus Is Magic,"November 11, 2005","Comedy, Music",63
Saw II,"October 28, 2005","Mystery, Thriller, Horror",40
Serenity,"September 28, 2018","Drama, Thriller",0
Shadowboxer,"July 21, 2006","Drama, Thriller, Crime",33
Shopgirl,"October 21, 2005","Drama, Romance",62
Sin City,"April 1, 2005","Action, Thriller, Crime",74
The Sisterhood of the Traveling Pants 2,"August 6, 2008","Drama, Comedy, Romance",63
Step Sisters,"January 19, 2018",Comedy,0
The Skeleton Key,"August 12, 2005","Drama, Mystery, Thriller, Horror",47
Sky High,"July 29, 2005","Adventure, Sci-Fi, Comedy, Family",62
Mona Lisa Smile,"December 19, 2003","Drama, Romance",45
Son of the Mask,"February 18, 2005","Adventure, Fantasy, Comedy, Family",20
A Sound of Thunder,"September 2, 2005","Action, Adventure, Sci-Fi, Thriller",24
The Squid and the Whale,"October 5, 2005","Drama, Comedy",82
Staying Vertical,"January 20, 2017","Drama, Comedy",65
Stealth,"July 29, 2005","Action, Adventure, Sci-Fi, Thriller",35
Street Fight,"February 22, 2006",Documentary,85
Supercross,"August 17, 2005","Action, Drama, Sport, Romance",26
Syriana,"November 23, 2005","Drama, Thriller",76
The Thing About My Folks,"September 16, 2005",Comedy,48
The Three Burials of Melquiades Estrada,"December 16, 2005","Adventure, Drama, Mystery, Crime, Western",77
Thru the Moebius Strip,"August 6, 2010","Adventure, Sci-Fi, Animation",0
Thumbsucker,"September 16, 2005","Drama, Comedy",69
Transamerica,"December 2, 2005","Adventure, Drama, Comedy",66
Transporter 2,"September 2, 2005","Action, Thriller, Crime",56
Two for the Money,"October 7, 2005","Drama, Sport, Thriller",50
Underclassman,"September 2, 2005","Action, Drama, Thriller, Comedy, Crime",19
Star Trek VI: The Undiscovered Country,"December 6, 1991","Action, Adventure, Sci-Fi, Thriller",65
An Unfinished Life,"September 9, 2005",Drama,49
The Upside of Anger,"March 11, 2005","Drama, Comedy, Romance",63
Venom,"October 5, 2018","Action, Sci-Fi, Thriller, Horror",0
Waiting...,"October 7, 2005",Comedy,30
Walk the Line,"November 18, 2005","Biography, Drama, Romance, Music",72
War of the Worlds,"June 29, 2005","Action, Adventure, Sci-Fi, Drama, Thriller",73
The War Within,"September 30, 2005",Drama,61
The Weather Man,"October 28, 2005","Drama, Comedy",61
Wedding Crashers,"July 15, 2005","Comedy, Romance",64
Mike and Dave Need Wedding Dates,"July 8, 2016","Adventure, Comedy, Romance",51
Where the Truth Lies,"October 14, 2005","Drama, Mystery, Thriller",47
White Noise,"January 7, 2005","Sci-Fi, Drama, Mystery, Thriller, Horror",30
Why We Fight,"January 20, 2006","History, War, Documentary",68
xXx: State of the Union,"April 29, 2005","Action, Adventure, Thriller, Crime",37
"Yours, Mine and Ours","November 23, 2005","Comedy, Romance, Family",38
Zathura: A Space Adventure,"November 11, 2005","Action, Adventure, Sci-Fi, Fantasy, Comedy, Family",67
A Prairie Home Companion,"June 9, 2006","Drama, Comedy, Music, Musical",75
Apocalypto,"December 8, 2006","Action, Adventure, Drama",68
Aquamarine,"March 3, 2006","Fantasy, Comedy, Romance, Family",51
Art School Confidential,"May 5, 2006","Drama, Comedy",54
Babel,"October 27, 2006",Drama,69
Basic Instinct 2,"March 31, 2006","Mystery, Thriller, Crime",26
Blood Diamond,"December 8, 2006","Action, Adventure, Drama, Thriller",64
BloodRayne,"January 6, 2006","Action, Adventure, Fantasy, Horror, Comedy",18
Casino Royale,"November 17, 2006","Action, Adventure, Thriller",80
Children of Men,"December 25, 2006","Adventure, Sci-Fi, Drama, Mystery, Thriller",84
Crossover,"September 1, 2006","Action, Sport",30
Dreamgirls,"December 15, 2006","Drama, Musical",76
Eight Below,"February 17, 2006","Adventure, Drama, Romance, Family",64
Employee of the Month,"October 6, 2006","Comedy, Romance",36
Eragon,"December 15, 2006","Action, Adventure, Fantasy, Family",38
Fearless,"September 22, 2006","Action, Biography, Drama, Sport",70
Final Destination 3,"February 10, 2006","Mystery, Thriller, Horror",41
Firewall,"February 10, 2006","Thriller, Crime",45
Flicka,"October 20, 2006","Adventure, Drama, Family",57
Flushed Away,"November 3, 2006","Adventure, Comedy, Animation, Family",74
Flyboys,"September 22, 2006","Action, Adventure, Drama, History, Romance, War",47
For Your Consideration,"November 17, 2006",Comedy,68
Freedomland,"February 17, 2006","Drama, Mystery, Thriller, Crime",43
Friends with Money,"April 7, 2006","Drama, Romance",68
Garfield: A Tail of Two Kitties,"June 16, 2006","Comedy, Family",37
Gridiron Gang,"September 15, 2006","Drama, Sport, Crime",52
Happy Feet,"November 17, 2006","Adventure, Comedy, Romance, Music, Animation, Family",77
Harsh Times,"November 10, 2006","Drama, Thriller, Crime",56
Hoodwinked!,"December 16, 2005","Mystery, Crime, Animation, Family",45
Hoot,"May 5, 2006","Adventure, Comedy, Family",46
Hostel,"January 6, 2006","Mystery, Thriller, Horror",55
How to Eat Fried Worms,"August 25, 2006","Comedy, Family",56
Ice Age: The Meltdown,"March 31, 2006","Adventure, Comedy, Animation, Family",58
Idiocracy,"September 1, 2006","Adventure, Sci-Fi, Thriller, Fantasy, Comedy",66
Idlewild,"August 25, 2006","Drama, Romance, Crime, Musical",55
Invincible,"August 25, 2006","Biography, Drama, Sport",63
Jackass Number Two,"September 22, 2006","Comedy, Documentary",66
John Tucker Must Die,"July 28, 2006","Comedy, Romance",41
Just My Luck,"May 12, 2006","Fantasy, Comedy, Romance",29
Kenny Chesney: Summer in 3D,"April 21, 2010","Music, Documentary",65
Lady in the Water,"July 21, 2006","Mystery, Thriller, Fantasy",36
Larry the Cable Guy: Health Inspector,"March 24, 2006","Comedy, Romance",21
Last Holiday,"January 13, 2006","Adventure, Drama, Comedy",52
Lucky Number Slevin,"April 7, 2006","Thriller, Crime",53
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,"May 8, 2015","Adventure, Comedy",58
Marie Antoinette,"October 20, 2006","Biography, Drama, History",65
Material Girls,"August 18, 2006","Comedy, Romance, Family",17
Miami Vice,"July 28, 2006","Action, Drama, Thriller, Crime",65
Mission: Impossible III,"May 5, 2006","Action, Adventure, Thriller",66
Monster House,"July 21, 2006","Mystery, Fantasy, Comedy, Animation, Family",68
My Super Ex-Girlfriend,"July 21, 2006","Sci-Fi, Drama, Thriller, Comedy, Romance, Crime",50
Nacho Libre,"June 16, 2006","Sport, Comedy, Family",52
Nanny McPhee,"January 27, 2006","Fantasy, Comedy, Family",59
Night at the Museum,"December 22, 2006","Action, Adventure, Fantasy, Comedy, Family",48
Notes on a Scandal,"December 27, 2006",Drama,73
One Night with the King,"October 13, 2006",Drama,38
Open Season,"September 29, 2006","Adventure, Comedy, Animation, Family",49
Over the Hedge,"May 19, 2006","Adventure, Comedy, Animation, Family",67
Phat Girlz,"April 7, 2006",Comedy,36
Poseidon,"May 12, 2006","Action, Adventure, Thriller",50
Rocky Balboa,"December 20, 2006","Drama, Sport",63
Running Scared,"February 24, 2006","Action, Drama, Thriller, Crime",41
Saw III,"October 27, 2006","Thriller, Horror, Crime",48
School for Scoundrels,"September 29, 2006","Comedy, Romance",44
Scoop,"July 28, 2006","Mystery, Fantasy, Comedy, Romance",48
See No Evil,"May 19, 2006","Action, Mystery, Thriller, Horror, Crime",17
Silent Hill,"April 21, 2006","Drama, Mystery, Thriller, Fantasy, Horror",31
Slither,"March 31, 2006","Sci-Fi, Horror, Comedy",69
Snakes on a Plane,"August 18, 2006","Action, Thriller",58
Stay Alive,"March 24, 2006","Thriller, Horror",24
Step Up,"August 11, 2006","Drama, Romance, Crime, Music",48
Stick It,"April 28, 2006","Drama, Sport, Comedy",53
Stranger Than Fiction,"November 10, 2006","Drama, Fantasy, Comedy, Romance",67
Take the Lead,"April 7, 2006","Drama, Music",55
Talladega Nights: The Ballad of Ricky Bobby,"August 4, 2006","Action, Sport, Comedy",66
Tenacious D in The Pick of Destiny,"November 22, 2006","Adventure, Comedy, Music",55
Thank You for Smoking,"March 17, 2006","Drama, Comedy",71
The Descent,"August 4, 2006","Action, Adventure, Drama, Thriller, Horror",71
The Fountain,"November 22, 2006","Sci-Fi, Drama, Romance",51
Guardians of the Galaxy Vol. 2,"May 5, 2017","Action, Adventure, Sci-Fi, Comedy",67
The Hills Have Eyes,"March 10, 2006","Thriller, Horror",52
The Holiday,"December 8, 2006","Comedy, Romance",52
The Illusionist,"December 25, 2010",Animation,82
The Lake House,"June 16, 2006","Drama, Fantasy, Romance",52
The Last Kiss,"September 15, 2006","Drama, Comedy, Romance",57
The Marine,"October 13, 2006","Action, Drama, Thriller",45
The Night Listener,"August 4, 2006","Mystery, Thriller",51
The Pink Panther,"February 10, 2006","Adventure, Mystery, Comedy, Crime",38
The Prestige,"October 20, 2006","Drama, Mystery, Thriller",66
The Pursuit of Happyness,"December 15, 2006","Biography, Drama",64
xXx: Return of Xander Cage,"January 20, 2017","Action, Adventure, Thriller",42
The Santa Clause 3: The Escape Clause,"November 3, 2006","Adventure, Fantasy, Comedy, Family",32
Aida's Secrets,"October 20, 2017",Documentary,80
The Sentinel,"April 21, 2006","Action, Thriller, Crime",49
The Shaggy Dog,"March 10, 2006","Fantasy, Comedy, Family",43
The Texas Chainsaw Massacre: The Beginning,"October 6, 2006","Thriller, Horror",30
The Wicker Man,"September 1, 2006","Mystery, Thriller, Horror",36
Wild,"December 3, 2014","Biography, Drama",76
Trailer Park Boys: The Movie,"January 25, 2008","Comedy, Crime",38
Tristan and Isolde,"January 13, 2006","Action, Adventure, Drama, Romance",49
Turistas,"December 1, 2006","Adventure, Drama, Mystery, Thriller, Horror",36
Ultraviolet,"March 3, 2006","Action, Sci-Fi",18
Underworld: Evolution,"January 20, 2006","Action, Sci-Fi, Thriller, Fantasy",36
United 93,"April 28, 2006","Drama, History, Crime",90
V for Vendetta,"March 17, 2006","Action, Sci-Fi, Thriller",62
Van Wilder 2: The Rise of Taj,"December 1, 2006","Comedy, Romance",21
Volver,"November 3, 2006","Drama, Mystery, Comedy, Crime",84
Waist Deep,"June 23, 2006","Action, Drama, Thriller, Crime",37
We Are Marshall,"December 22, 2006","Drama, Sport",53
When a Stranger Calls,"February 3, 2006","Thriller, Horror",27
"You, Me and Dupree","July 14, 2006","Comedy, Romance",46
Zoom,"September 2, 2016","Drama, Comedy, Animation",55
The 11th Hour,"June 12, 2015","Drama, Thriller",32
1408,"June 22, 2007","Thriller, Horror",64
30 Days of Night,"October 19, 2007","Thriller, Horror",53
Across the Universe,"September 14, 2007","Adventure, Drama, Romance, Musical",56
Her Alibi,"February 3, 1989","Mystery, Comedy, Romance, Crime",24
AVPR: Aliens vs Predator - Requiem,"December 25, 2007","Action, Sci-Fi, Thriller, Horror",29
Alvin and the Chipmunks: The Road Chip,"December 18, 2015","Adventure, Fantasy, Comedy, Music, Animation, Family",33
American Gangster,"November 2, 2007","Drama, Crime",76
American Pastime,"May 11, 2007",Drama,0
Anamorph,"April 18, 2008",Thriller,43
Aqua Teen Hunger Force Colon Movie Film for Theaters,"April 13, 2007","Action, Adventure, Sci-Fi, Fantasy, Comedy, Animation",54
Arctic Tale,"July 25, 2007","Family, Documentary",64
Are We Done Yet?,"April 4, 2007","Drama, Comedy, Family",36
The Assassination of Jesse James by the Coward Robert Ford,"September 21, 2007","Biography, Drama, History, Crime, Western",68
August Rush,"November 21, 2007","Drama, Romance, Music",38
Star Wars: Episode VII - The Force Awakens,"December 18, 2015","Action, Adventure, Sci-Fi, Fantasy",81
Balls of Fury,"August 29, 2007","Action, Sport, Comedy, Romance, Crime",38
Because I Said So,"February 2, 2007","Comedy, Romance",26
Bee Movie,"November 2, 2007","Adventure, Comedy, Animation, Family",54
The Believer,"May 17, 2002",Drama,75
Beowulf,"November 16, 2007","Action, Adventure, Fantasy, Animation",59
Blades of Glory,"March 30, 2007","Sport, Comedy, Romance",64
The Blue Hour,"April 8, 2016",Drama,0
The Bourne Ultimatum,"August 3, 2007","Action, Adventure, Mystery, Thriller",85
The Brave One,"September 14, 2007","Drama, Thriller, Crime",56
Breach,"February 16, 2007","Drama, Mystery, Thriller, Crime",74
Bridge to Terabithia,"February 16, 2007","Adventure, Drama, Fantasy, Family",74
Broken English,"June 22, 2007","Drama, Comedy, Romance",61
Brooklyn Rules,"May 18, 2007","Drama, Crime",53
The Brothers Solomon,"September 7, 2007",Comedy,32
The Bucket List,"December 25, 2007","Adventure, Drama, Comedy",42
Captivity,"July 13, 2007","Thriller, Horror, Crime",24
Chapter 27,"March 28, 2008","Drama, Crime",32
Chicago 10,"February 29, 2008","History, War, Animation, Documentary",69
Code Name: The Cleaner,"January 5, 2007","Action, Comedy, Crime",33
The Comebacks,"October 19, 2007","Sport, Comedy",25
The Condemned,"March 1, 2013",Mystery,29
Command and Control,"September 14, 2016",Documentary,77
"Crazy, Stupid, Love","July 29, 2011","Comedy, Romance",68
Cthulhu,"August 22, 2008","Drama, Thriller",41
Daddy Day Camp,"August 8, 2007","Comedy, Family",13
Dan in Real Life,"October 26, 2007","Drama, Comedy, Romance",65
Darfur Now,"November 2, 2007",Documentary,66
Dark Matter,"April 11, 2008",Drama,49
Zero Day,"August 3, 2003",Drama,69
Dead Silence,"March 16, 2007","Mystery, Thriller, Horror",34
Death Sentence,"August 31, 2007","Action, Drama, Thriller",36
Delta Farce,"May 11, 2007","Action, Adventure, Comedy",17
Disturbia,"April 11, 2007","Mystery, Thriller",62
The Diving Bell and the Butterfly,"November 30, 2007","Biography, Drama",92
Eastern Promises,"September 14, 2007","Drama, Mystery, Thriller, Crime",82
Enchanted,"November 21, 2007","Fantasy, Comedy, Romance, Family, Musical",75
Captain Underpants: The First Epic Movie,"June 2, 2017","Action, Adventure, Comedy, Animation, Family",69
Evan Almighty,"June 22, 2007","Fantasy, Comedy, Family",37
Murder on the Orient Express,"November 10, 2017","Drama, Mystery, Crime",52
Extreme Movie,"December 5, 2008",Comedy,0
Fantastic Four: Rise of the Silver Surfer,"June 15, 2007","Action, Adventure, Sci-Fi, Thriller, Fantasy",45
Feel the Noise,"October 5, 2007","Drama, Music",36
Finishing the Game: The Search for a New Bruce Lee,"October 5, 2007",Comedy,46
Firehouse Dog,"April 4, 2007","Action, Comedy, Family",43
Flock of Dudes,"September 30, 2016",Comedy,36
For the Bible Tells Me So,"October 5, 2007",Documentary,73
Fracture,"April 20, 2007","Drama, Mystery, Thriller, Crime",68
Fred Claus,"November 9, 2007","Fantasy, Comedy, Family",42
Freedom Writers,"January 5, 2007","Biography, Drama, Crime",64
Full of It,"March 2, 2007","Drama, Comedy",33
The Game Plan,"September 28, 2007","Sport, Comedy, Family",44
Georgia Rule,"May 11, 2007","Drama, Comedy, Romance",25
Ghost Rider,"February 16, 2007","Action, Thriller, Fantasy",35
The Go-Getter,"June 6, 2008","Drama, Comedy",69
The Golden Compass,"December 7, 2007","Adventure, Fantasy, Family",51
Gone Baby Gone,"October 19, 2007","Drama, Mystery, Thriller, Crime",72
Good Luck Chuck,"September 21, 2007","Drama, Comedy, Romance",19
"Good Night, and Good Luck.","October 7, 2005","Drama, History",80
Grace Is Gone,"December 7, 2007",Drama,65
Gracie,"June 1, 2007","Drama, Sport",52
The Great Debaters,"December 25, 2007","Biography, Drama",65
Grindhouse,"April 6, 2007","Action, Thriller",77
Hairspray,"July 20, 2007","Comedy, Romance, Musical",81
Tyler Perry's Boo 2! A Madea Halloween,"October 20, 2017","Horror, Comedy",17
Hammer of the Gods,"July 5, 2013",Action,44
Harry Potter and the Order of the Phoenix,"July 11, 2007","Adventure, Mystery, Fantasy, Family",71
The Heartbreak Kid,"October 5, 2007","Comedy, Romance",46
The Hitcher,"January 19, 2007","Action, Thriller, Horror, Crime",28
The Hitman's Bodyguard,"August 18, 2017","Action, Comedy",47
The Hoax,"April 6, 2007","Drama, Comedy",70
Honeydripper,"December 28, 2007","Drama, Music",68
Hostel: Part II,"June 8, 2007","Thriller, Horror",46
Hot Rod,"August 3, 2007",Comedy,43
The Hunting Party,"September 7, 2007","Adventure, Drama, Thriller, Comedy, War",54
I Am Legend,"December 14, 2007","Sci-Fi, Drama, Thriller",65
I Could Never Be Your Woman,"November 9, 2007","Drama, Comedy, Romance",0
I Know Who Killed Me,"July 27, 2007","Mystery, Thriller, Crime",16
I Now Pronounce You Chuck & Larry,"July 20, 2007","Comedy, Romance",37
I Think I Love My Wife,"March 16, 2007","Drama, Comedy, Romance",49
In the Land of Women,"April 20, 2007","Drama, Comedy, Romance",47
In the Valley of Elah,"September 14, 2007","Drama, Mystery, Thriller, Crime",65
The Interview,"December 25, 2014","Action, Comedy",52
Into the Wild,"September 21, 2007","Adventure, Biography, Drama",73
Alien Invasion: S.U.M.1,"December 1, 2017","Sci-Fi, Thriller, Horror",0
Arthur and the Invisibles,"December 29, 2006","Adventure, Fantasy, Family",39
Joshua,"July 6, 2007","Drama, Thriller",69
Juno,"December 5, 2007","Drama, Comedy",81
Kickin It Old Skool,"April 27, 2007",Comedy,18
The King of Kong: A Fistful of Quarters,"August 17, 2007","Sport, Documentary",83
Moonrise Kingdom,"May 25, 2012","Drama, Comedy, Romance",84
The Kite Runner,"December 14, 2007","Drama, Romance",61
