Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Republic of the Congo,Democratic Republic of the Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea Bissau,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Republic of Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,United Republic of Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,England,USA,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,Somalila
Vantage Point,0,0,13,0,0,0,0,0,0,9,0,0,56,8,0,0,0,18,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,51,0,0,0,0,0,10,6,0,0,7,0,0,0,0,0,20,0,0,0,11,0,23,0,0,21,0,24,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,29,17,8,0,36,0,15,5,100,4,0,23,0,26,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,17,0,0,0,0,0,26,0,33,0,0,20,0,0,0,0,28,0,34,0,0,0,0,0,0,54,0,11,19,35,0,18,2,0,0,0,0,15,0,15,0,0,59,0,0,0,0,0,25,0,11,0,8,40,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,9,0,0,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,33,37,60,0,0,0,0,8,5,0,0,0,0,0,0,0
Vicky Cristina Barcelona,0,0,26,0,0,0,0,0,0,45,0,0,30,56,0,0,0,0,0,0,45,0,0,0,0,0,33,0,0,25,0,0,0,31,0,0,0,0,36,0,0,0,0,0,30,5,0,0,25,0,0,0,0,31,53,0,0,0,57,0,37,0,0,0,0,29,0,0,0,55,0,0,0,0,46,56,0,0,0,0,0,87,31,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,33,66,0,22,7,29,0,44,0,30,88,0,2,0,0,0,0,0,0,0,0,0,37,48,0,0,0,0,34,0,0,73,0,0,10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,32,0,0,0,0,0,29,0,32,0,0,0,0,0,0,0,40,0,21,0,0,0,0,0,15,18,0,100,55,0,0,66,4,0,0,0,0,15,0,49,0,0,32,0,47,36,0,0,13,0,13,0,81,0,0,0,0,0,0,0,0,0,0,0,0,31,51,0,0,6,0,0,6,0,0,0,0,0,60,24,0,0,0,0,0,0,0,36,30,22,43,0,0,0,13,4,0,0,0,0,0,0,0
Visioneers,0,0,0,0,0,0,0,0,0,65,0,0,25,45,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,42,0,0,0,0,0,39,0,0,0,10,0,0,0,0,0,23,0,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,25,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,36,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,9,0,18,13,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,21,31,100,0,0,0,0,0,0,0,0,0,0,0,0,0
W.,0,0,0,0,0,0,0,0,0,7,0,0,10,25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,35,0,0,0,0,0,9,16,0,0,9,0,0,0,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,32,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,12,5,9,0,10,0,10,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,0,0,28,0,0,0,0,18,0,11,0,0,0,0,0,10,18,0,46,11,0,0,8,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,10,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,10,100,0,0,0,0,6,3,0,0,0,0,0,0,0
The Wackness,0,0,0,0,0,0,0,0,0,19,0,0,83,22,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,85,0,0,0,0,0,25,6,0,0,7,0,0,0,0,0,48,0,0,0,31,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,27,0,0,0,0,0,0,21,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0,0,77,0,24,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,16,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,27,0,100,0,0,0,0,0,0,0,68,0,20,0,0,0,0,0,0,35,0,46,52,0,0,41,0,0,0,0,0,8,0,43,0,0,28,0,29,48,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,95,26,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,21,66,92,0,0,0,0,7,0,0,0,0,0,0,0,0
WALL-E,0,0,0,0,0,0,0,0,0,57,0,0,52,25,0,0,0,0,0,0,40,0,0,0,0,30,0,0,0,49,0,0,0,24,0,0,0,0,61,0,0,0,0,0,100,19,0,0,51,0,0,0,0,83,45,0,0,0,48,0,40,0,0,0,52,20,78,0,0,0,0,0,0,0,47,27,0,0,0,0,0,0,28,0,0,36,0,0,0,0,56,0,0,0,0,0,0,0,32,76,0,13,20,16,0,37,0,21,49,0,5,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,39,0,0,0,0,0,25,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,40,0,50,0,0,0,0,0,0,0,43,0,17,0,0,0,0,0,47,43,0,50,45,79,0,57,11,0,0,0,0,11,0,28,0,0,35,0,61,0,0,0,18,0,21,0,55,0,0,0,0,0,0,0,0,0,0,0,0,48,35,0,0,8,0,0,12,0,0,0,0,0,0,22,0,0,0,0,0,0,15,25,45,59,46,0,0,0,41,15,0,0,0,0,0,0,0
Waltz with Bashir,0,0,0,0,0,0,0,0,0,14,0,0,31,42,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0,0,0,10,4,0,0,14,0,0,0,0,0,26,0,0,0,37,0,32,0,0,0,0,12,0,0,0,36,0,0,0,0,31,6,0,0,0,0,0,0,47,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,14,4,10,0,39,0,100,6,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,28,0,45,0,0,0,0,0,0,0,29,0,18,0,0,0,0,0,0,6,0,10,23,0,0,12,3,0,0,0,0,4,0,20,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,35,0,0,9,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,34,23,0,0,0,0,0,3,0,0,0,0,0,0,0
Wanted,0,0,23,0,0,0,0,0,0,17,0,0,47,15,0,0,0,43,0,20,15,0,0,0,0,27,0,0,0,19,0,0,0,29,0,0,0,0,36,0,0,0,0,0,27,4,0,0,19,0,0,0,0,26,24,0,0,0,21,0,14,0,0,50,17,22,41,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,16,0,0,18,0,0,0,0,36,0,0,0,0,0,0,0,13,36,0,46,37,13,0,48,0,17,13,100,4,0,23,20,38,0,0,0,0,0,33,0,0,0,0,0,29,0,0,0,0,0,38,0,0,0,0,0,0,0,0,17,0,54,0,0,0,0,17,0,0,0,0,0,21,0,51,0,0,29,0,0,0,0,18,0,69,0,0,0,0,0,13,60,0,26,21,0,0,49,17,0,0,0,0,13,0,23,0,0,32,0,24,0,0,0,55,0,7,0,12,56,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,5,0,0,14,0,0,0,0,0,25,25,0,0,0,0,0,0,21,37,46,43,0,0,0,0,24,7,0,0,0,0,0,0,0
"War, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,38,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0
Welcome Home Roscoe Jenkins,0,0,7,0,0,0,0,0,0,2,0,0,7,0,0,100,31,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,9,5,0,0,6,67,0,0,17,0,0,0,0,19,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,2,8,30,18,32,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,22,0,0,0,0,0,1,0,0,0,0,0,0,0
What Doesn't Kill You,0,0,0,0,0,0,0,0,0,17,0,0,77,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,61,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,52,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,100,0,15,25,0,0,12,0,0,0,0,0,13,0,0,0,0,96,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,45,58,62,0,0,0,0,0,0,0,0,0,0,0,0,0
