Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia (FYROM),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,The 40-Year-Old Virgin,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands
Bad News Bears,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ballad of Jack and Rose,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,34,0,0,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,14,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,38,41,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman Begins,0,0,31,0,0,0,0,0,0,34,0,0,90,61,0,0,0,62,0,0,61,0,0,0,0,0,0,0,0,64,0,0,0,23,0,0,0,0,99,0,0,0,0,0,47,7,0,0,25,0,0,0,0,0,62,0,0,0,28,0,70,0,0,0,34,58,0,0,0,0,0,0,0,0,65,66,0,0,0,0,0,0,58,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,73,34,0,68,30,36,0,100,0,28,95,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,35,0,0,0,0,0,48,0,81,0,0,0,0,0,0,0,77,0,76,0,0,0,0,0,22,79,0,17,43,84,0,40,5,0,0,0,0,28,0,58,0,0,94,0,0,0,0,0,38,0,21,0,76,0,0,0,0,0,0,0,0,0,0,0,0,73,54,0,0,14,0,0,21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,61,100,89,0,0,0,0,0,21,12,0,0,0,0,0,0
The Baxter,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Cool,0,0,17,0,0,0,0,0,0,18,0,0,92,28,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,16,0,0,0,33,0,0,0,0,72,0,0,0,0,0,15,5,0,0,12,0,0,0,0,0,33,0,0,0,37,0,35,0,0,0,0,15,0,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,28,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,22,39,0,30,26,10,0,59,0,21,33,0,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,44,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,20,0,0,0,0,0,30,0,86,0,0,47,0,0,0,0,41,0,28,0,0,0,0,0,13,100,0,36,48,0,0,37,9,0,0,0,0,16,0,26,0,0,56,0,48,41,0,0,71,0,16,0,77,0,0,0,0,0,0,0,0,0,0,0,0,60,26,0,0,10,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,14,48,56,92,0,0,0,0,0,0,9,0,0,0,0,0,0
Beauty Shop,0,0,0,0,0,0,0,0,0,5,0,0,76,30,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,7,0,0,0,31,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,10,0,33,0,0,0,0,9,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,32,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,53,13,0,25,32,0,0,69,0,8,18,0,3,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,0,27,0,61,0,0,31,0,0,0,0,20,0,23,0,0,0,0,0,0,49,0,8,14,0,54,37,5,0,0,0,0,14,0,25,0,0,100,0,0,0,0,0,42,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,34,0,0,15,0,0,57,0,0,0,0,0,0,4,0,0,0,0,0,0,6,47,99,60,0,0,0,0,0,0,22,0,0,0,0,0,0
Because of Winn-Dixie,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,10,0,32,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee Season,0,0,0,0,0,0,0,0,0,11,0,0,83,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,71,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,40,0,0,0,0,0,35,0,0,0,0,17,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,32,20,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,45,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,28,0,96,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,76,0,6,19,0,0,18,0,0,0,0,0,16,0,0,0,0,100,0,0,49,0,0,75,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,29,18,0,0,0,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,51,51,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Bewitched,0,0,0,0,0,0,0,0,0,6,0,0,80,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,52,0,0,0,0,0,12,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,11,4,0,0,54,0,10,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,49,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,7,30,0,8,9,0,0,13,3,0,0,0,0,5,0,0,0,0,28,0,0,0,0,0,24,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,4,0,0,6,0,0,0,0,100,0,3,0,0,0,0,0,0,0,20,56,65,0,0,0,0,0,5,2,0,0,0,0,0,0
Bigger Than the Sky,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Boogeyman,0,0,27,0,0,0,0,0,0,46,0,0,51,53,0,0,0,0,0,0,41,0,0,0,0,44,53,0,0,10,0,0,0,73,0,0,0,0,63,0,0,0,0,0,59,0,0,0,42,0,0,0,0,56,46,0,0,0,35,0,55,0,0,49,56,37,0,0,0,0,0,0,0,0,54,35,0,0,0,0,0,0,44,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,50,42,14,0,58,0,27,67,0,2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,42,0,0,0,0,0,55,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,26,0,0,0,0,0,29,0,49,0,0,0,0,0,0,0,52,0,67,0,0,0,0,0,49,91,0,62,61,95,0,61,10,0,0,0,0,24,0,34,0,0,52,0,31,38,0,0,49,0,0,0,33,100,0,0,0,0,0,0,0,0,0,0,0,42,32,0,0,15,0,0,21,0,0,0,0,0,36,41,0,0,0,0,0,0,8,48,54,72,0,0,0,0,0,40,15,0,0,0,0,0,0
