	title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	polarity	subjectivity	polarity_confidence	subjectivity_confidence
11	Compliance	2012	R	17	90	Biography; Crime; Drama	Craig Zobel	Ann Dowd; Matt Servitto; Dreama Walker; Pat Healy	At a fast food restaurant the manager Sandra is having a bad day Suddenly she gets a phone call from a man claiming to be a police officer who has a complaint that one of her young female employees has stolen from a customer At the orders of this authoritative sounding stranger Sandra takes the apparent accused Becky to a back room to search her before she is picked up Once there the phone scammer manipulates the gullible personnel into participating in Beckys sexual humiliation that grows more twisted with every new sucker on the phone Only when one final person has the conscience to revolt do they realize the crime they were tricked into which the real police are hard pressed to solve	English	USA	7 wins & 34 nominations	6.4	89.0	68	318622.0	Magnolia Pictures	17-Aug-12	2012	8	194743.0	71.0	312.0	23.0	270000	319285	Magnolia	negative	subjective	0.995445371	1.0
12	Murderball	2005	R	17	88	Documentary; Sport	Henry Alex Rubin; Dana Adam Shapiro	Joe Bishop; Keith Cavill; Andy Cohn; Scott Hogsett	Quad rugby as played by the US team between 2002 games in Sweden and the 2004 Paralympics in Athens Young men most with spinal injuries play this rough and tumble sport in special chairs seated gladiators We get to know several and their families They talk frankly about their injuries feelings in public sex lives competitiveness and love of the game Theres also an angry former team member gone north to coach the Canadian team tough on everyone including his viola-playing son We meet a recently injured man in rehab at times close to despair finding possible joy in quad rugby After Athens the team meets young men injured in war: the future stars of Team USA	English	USA	Nominated for 1 Oscar Another 17 wins & 12 nominations	7.8	98.0	87	1328551.0	ThinkFilm	8-Jul-05	2005	7	52637.0	8.0	52.0	1.0	350000	1531154	ThinkFilm	neutral	subjective	0.83586973	1.0
13	Blue Ruin	2013	R	17	90	Crime; Drama; Thriller	Jeremy Saulnier	Macon Blair; Ydaiber Orozco; Ronald Sarcos; Dani Santiago	A mysterious outsiders quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance Proving himself an amateur assassin he winds up in a brutal fight to protect his estranged family	English	USA; France	8 wins & 18 nominations	7.1	96.0	77		Radius-TWC	25-Apr-14	2014	4	57838.0	4.0	42.0	5.0	420000	258384	Radius-TWC	negative	subjective	0.538627386	1.0
14	Brick	2005	R	17	110	Action; Crime; Drama	Rian Johnson	Joseph Gordon-Levitt; Nora Zehetner; Lukas Haas; Noah Fleiss	The lonely teenager Brendan finds his former girlfriend Emily dead in the entrance of a tunnel of sewage and recalls her phone call two days ago when she said to him that she was in trouble Brendan who still loved Emily met bad elements of his high-school trying to contact her and when he succeeded she told him that she was OK He hides her body in the tunnel and decides to investigate the meaning and connection of four words including brick and pin that Emily told him to find who killed her Using the support of his nerd friend Brain he successively meets the small time drug dealers Kara Dode Brad Bramish Laura and Tugger to reach the teenager powerful drug dealer The Pin Slowly Brendan unravels the motives why Emily was killed and plots a revenge	English	USA	11 wins & 23 nominations	7.4	79.0	72	1973180.0	Focus Features	31-Mar-06	2006	3	335137.0	214.0	1181.0	34.0	450000	2075743	Focus Features	negative	subjective	0.824742854	1.0
15	Fireproof	2008	PG	7	122	Drama; Romance	Alex Kendrick	Kirk Cameron; Erin Bethea; Ken Bevel; Stephen Dervan	In Albany the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce However Calebs father John proposes that his son delays their separation process for forty days and follow a procedure called The Love Dare to make them love each other again	English	USA		6.6	40.0	28	33451479.0	Sherwood Pictures	26-Sep-08	2008	9	32852.0		49.0	4.0	500000	33456317	Samuel Goldwyn	neutral	subjective	0.805821657	1.0
16	Drinking Buddies	2013	R	17	90	Comedy; Drama; Romance	Joe Swanberg	Olivia Wilde; Jake Johnson; Anna Kendrick; Ron Livingston	Luke and Kate are co-workers at a Chicago brewery where they spend their days drinking and flirting Theyre perfect for each other except that theyre both in relationships Luke is in the midst of marriage talks with his girlfriend of six years Kate is playing it cool with her music producer boyfriend Chris But you know what makes the line between friends and more than friends really blurry? Beer	English	USA	1 win & 3 nominations	6.1	83.0	71	200000.0	Magnolia Pictures	23-Aug-13	2013	8	5061231.0	777.0	7607.0	588.0	500000	343341	Magnolia	negative	subjective	0.465413541	1.0
17	Lonesome Jim	2005	R	17	91	Comedy; Drama	Steve Buscemi	Casey Affleck; Kevin Corrigan; Mary Kay Place; Seymour Cassel	Jim is a young man who after deciding he cant make it on his own moves back to his hometown in Indiana -- under his parents roof Hes saved from his familys dysfunction by a local woman and her son who sees him as a father figure	English	USA	1 win & 3 nominations	6.6	60.0	54		IFC Films	24-Mar-06	2006	3	53227.0	27.0	83.0	2.0	500000	154187	IFC	neutral	subjective	0.442456186	1.0
18	Mad Hot Ballroom	2005	PG	7	105	Documentary; Family; Music	Marilyn Agrelo	Heather Berman; Emma Therese Biegacki; Eva Carrozza; Evangelina Carrozzo	Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way Told from their candid sometimes hilarious perspectives these kids are transformed from reluctant participants to determined competitors from typical urban kids to ladies and gentlemen on their way to try to compete in the final citywide competition Providing unique insight into the incredible cultural diversity that is New York City this film profiles several kids from three schools (out of 60) at this dynamic age when becoming that cool teenager vies for position with familiar innocence while they learn the merengue rumba tango the foxtrot and swing	English; Spanish	USA	8 wins & 9 nominations	7.5	84.0	71	7899271.0	Paramount Classics	13-May-05	2005	5	122687.0	52.0	127.0	6.0	500000	8117961	Paramount Classics	neutral	subjective	0.753967047	1.0
19	Beyond the Reach	2014	R	17	91	Thriller	Jean-Baptiste Léonetti	Michael Douglas; Jeremy Irvine; Hanna Mangan Lawrence; Ronny Cox	A high-rolling corporate shark and his impoverished young guide play the most dangerous game during a hunting trip in the Mojave Desert	English	USA		5.6	37.0	34	32050.0	Roadside Attractions	17-Apr-15	2015	4	32498.0				500000	45895	Roadside Attractions	neutral	objective	0.681665719	1.0
20	Smashed	2012	R	17	81	Drama	James Ponsoldt	Mary Elizabeth Winstead; Aaron Paul; Nick Offerman; Megan Mullally	Kate and Charlie Hannah have a relationship well lubricated with alcohol but Kate finally finds her chemical appetites have gotten completely out of control With the help of an ex-addict friend at work Kate finds a support group that helps her begin to conquer her addictions However that recovery proves just part of a larger personal challenge to rebuild her life even as her marriage with her drunken husband deteriorates	English	USA	10 nominations	6.8	85.0	71	375981.0	Sony Pictures Classics	12-Oct-12	2012	10	121171.0	113.0	496.0	23.0	500000	376597	Sony Classics	positive	subjective	0.40919584	1.0
21	Ballast	2008	NOT RATED	17	96	Drama	Lance Hammer	Micheal J. Smith Sr.; JimMyron Ross; Tarra Riggs; Johnny McPhail	A single mother and her embattled son struggle to subsist in a small Mississippi Delta township An act of violence thrusts them into the world of an emotionally devastated highway store owner awakening the fury of a bitter and longstanding conflict	English	USA	17 wins & 21 nominations	7.0	92.0	84	100000.0	Alluvial Film Company	1-Oct-08	2008	10	99962.0	50.0	80.0	15.0	700000	77556	Alluvial Film Company	negative	subjective	0.772499084	1.0
22	Enron: The Smartest Guys in the Room	2005	NOT RATED	17	110	Documentary	Alex Gibney	John Beard; Tim Belden; Barbara Boxer; George W. Bush	Enron dives from the seventh largest US company to bankruptcy in less than a year in this tale told chronologically The emphasis is on human drama from suicide to 20000 people sacked: the personalities of Ken Lay (with Falwellesque rectitude) Jeff Skilling (he of big ideas) Lou Pai (gone with $250 M) and Andy Fastow (the dark prince) dominate Along the way we watch Enron game Californias deregulated electricity market get a free pass from Arthur Andersen (which okays the dubious mark-to-market accounting) use greed to manipulate banks and brokerages (Merrill Lynch fires the analyst who questions Enrons rise) and hear from both Presidents Bush what great guys these are	English	USA	Nominated for 1 Oscar Another 3 wins & 10 nominations	7.7	97.0	82	3886956.0	Magnolia Pictures	22-Apr-05	2005	4	228503.0	12.0	285.0	8.0	700000	4071700	Magnolia	negative	subjective	0.700400531	1.0
23	Prince Avalanche	2013	R	17	94	Comedy; Drama	David Gordon Green	Paul Rudd; Emile Hirsch; Lance LeGault; Joyce Payne	After a rough time working a night shift job in the city Alvin is spending the summer on a remote two-man public works crew painting lines on newly paved roads through what is a recently wildfire-ravaged region of Texas He is camping along the way living off the land even doing so on his days off He is what he considers a responsible man earning and sending money to his girlfriend Madison a single mother so that she need not concern herself with anything besides child rearing The junior second that Alvin hires for his crew is Madisons brother Lance Alvins controlling and judgmental nature comes to the surface in his dealings with more immature and irresponsible Lance who goes back to the city on the weekends so that he can have his little man squeezed something he cannot understand in Alvin being without Madison or any woman for such a long stretch of time Alvin prefers to stay in the burnt out woods on the weekends as being alone with his thoughts and his chores - many which he considers his life lessons - he believes helps him think more clearly about life Although their lives are affected by the few people they meet along the way it is the aftermath of one of Lances weekends home that will forever change the nature of their relationship and their respective outlooks on life	English; German	USA	3 wins & 5 nominations	6.4	82.0	73	204951.0	Magnolia Pictures	9-Aug-13	2013	8	271375.0	156.0	817.0	77.0	725000	205139	Magnolia	neutral	subjective	0.437778205	1.0
24	Aqua Teen Hunger Force Colon Movie Film for Theaters	2007	R	17	86	Animation; Action; Adventure	Matt Maiellaro; Dave Willis	Dana Snyder; Carey Means; Dave Willis; Andy Merrill	The story begins in Egypt where Master Shake Frylock and Meatwad are being attacked by an oversize poodle who kills Frylock before being destroyed by Shake Shake and Meatwad drive off with Frylocks corpse and meet Time Lincoln who plans to revive Frylock however when the CIA break into his house the Aqua Teens flee in his wooden rocket ship and Time Lincoln is shot This however is all revealed to be an elaborate story concocted by Shake to explain the ATHFs origin to Meatwad Shake then explains to Meatwad that women are only attracted to great bodies then heads off to work out on his new exercise machine the Insane-O-Flex Together they go in search of a missing piece of an exercise machine that happens to be more than an exercise machine placing them on a collision course with the likes of Oglethorpe and Emory a pair of jagged ridiculous creatures from the future who travel with a robot companion claiming to be the Ghost of Christmas Past They also encounter Dr Weird a mad and evil scientist given to disguises and who seeks revenge against the Hunger Force McPee Pants a rapping spider who wears a shower cap and diaper and the hilarious Ignignokt and Err two-dimensional villains from the ancient days of Pokey Atari video games	English	USA		6.9	48.0	54	5431812.0	First Look Pictures	13-Apr-07	2007	4	22851.0	16.0	133.0	5.0	750000	5520368	First Look	negative	subjective	0.78736639	1.0
25	Safety Not Guaranteed	2012	R	17	86	Comedy; Drama; Romance	Colin Trevorrow	Aubrey Plaza; Lauren Carlos; Basil Harris; Mary Lynn Rajskub	Darius is a young intern at a Seattle-based magazine and jumps at the chance to investigate the author of a classified ad seeking someone to travel back in time with Along with Jeff the staff writer and Arnau a fellow intern the three go on a road trip to a coastal town While Jeff just wants to chase after his high school crush and Arnau wants some kind of life experience Darius spends her time with Kenneth a man who believes that he has built a time machine The closer they become and the more they understand about each other the less clear it becomes if Kenneth is just crazy or if he actually is going to successfully travel back in time	English	USA	7 wins & 18 nominations	7.0	90.0	72	4007792.0	FilmDistrict	8-Jun-12	2012	6	2484659.0	864.0	8124.0	325.0	750000	4010957	FilmDistrict	neutral	subjective	0.763362825	1.0
26	Fruitvale Station	2013	R	17	85	Biography; Drama; Romance	Ryan Coogler	Michael B. Jordan; Melonie Diaz; Octavia Spencer; Kevin Durand	This is the true story of Oscar a 22-year-old Bay Area resident who wakes up on the morning of December 31 2008 and feels something in the air Not sure what it is he takes it as a sign to get a head start on his resolutions: being a better son to his mother whose birthday falls on New Years Eve being a better partner to his girlfriend who he hasnt been completely honest with as of late and being a better father to T their beautiful 4 year old daughter He starts out well but as the day goes on he realizes that change is not going to come easy He crosses paths with friends family and strangers each exchange showing us that there is much more to Oscar than meets the eye But it would be his final encounter of the day with police officers at the Fruitvale BART station that would shake the Bay Area to its very core and cause the entire nation to be witnesses to the story of Oscar Grant	English; Spanish	USA	39 wins & 53 nominations	7.5	94.0	85	11010136.0	The Weinstein Company	12-Jul-13	2013	7	455935.0	237.0	1485.0	47.0	900000	16101339	Weinstein Company	neutral	subjective	0.516067266	1.0
27	Meet the Blacks	2016	R	17	94	Comedy; Horror	Deon Taylor	Mike Epps; Gary Owen; Zulay Henao; Bresha Webb	The Black family is getting out of Chicago in hopes of a better life After Carl Black (Mike Epps) comes into some unexpected funds he takes his family and leaves the hustling lifestyle behind for something better Carl his new wife Lorena (Zulay Henao) son Carl Jr daughter Allie Black (Bresha Webb) and cousin Cronut (Lil Duval) pack up and move to Beverly Hills Turns out Carl couldnt have picked a worse time to move They arrive right around the time of the annual purge when all crime is legal for twelve hours	English	USA		5.7	11.0	26		Hidden Empire Film Group	1-Apr-16	2016	4	173783.0	22.0	120.0	15.0	900000	9097072	Freestyle Releasing	neutral	subjective	0.499972582	1.0
28	The Brass Teapot	2012	R	17	101	Comedy; Fantasy; Thriller	Ramaa Mosley	Juno Temple; Michael Angarano; Alexis Bledel; Billy Magnussen	Based on the comic book series The Brass Teapot about a mid-twenty-year-old couple who in these difficult economic times finds a mysterious magical brass teapot which makes them money but at a surprising price After realizing the teapots power John and Alice must decide how far they will go to fulfill their dream	English	USA	2 nominations	6.4	33.0	43		Magnolia Pictures	5-Apr-13	2013	4	3909691.0	605.0	7566.0	610.0	900000	6997	Magnolia	neutral	subjective	0.355595827	1.0
29	Dean	2016	PG-13	13	94	Comedy; Drama; Romance	Demetri Martin	Asif Ali; Jesaiah Baer; Kathrine Barnes; H. Jon Benjamin	A comedy about loss grief and the redemptive power of love Dean is a NY illustrator who falls hard for an LA woman while trying to prevent his father from selling the family home in the wake of his mothers death	English	USA	1 win & 1 nomination	6.3	64.0	58	248849.0	CBS Films	2-Jun-17	2017	6	66126.0	26.0	195.0	36.0	950000	254536	CBS Films	positive	objective	0.814220309	0.999999986
30	House of Wax	2005	R	17	108	Horror; Mystery; Thriller	Jaume Collet-Serra	Elisha Cuthbert; Chad Michael Murray; Brian Van Holt; Paris Hilton	Six friends are on their way to a football game They decide to camp out for the night and continue driving the next day The next day the friends find that theyre having car troubles so two of the friends accept a strangers ride into a small town named Ambrose The main attraction in Ambrose is the House of Wax Except something is not right in this town the wax figures are so realistic and the whole town is deserted - except for two murderous twin brothers The six friends must fight to survive and escape from being the next exhibits in the House of Wax	English	Australia; USA	5 wins & 11 nominations	5.3	25.0	41	32000000.0	Warner Bros. Pictures	6-May-05	2005	5	1905174.0	790.0	2201.0	170.0	1000000	23750000	Warner Bros.	neutral	subjective	0.551484227	1.0
31	Blue Valentine	2010	R	17	112	Drama; Romance	Derek Cianfrance	Ryan Gosling; Michelle Williams; Faith Wladyka; John Doman	Dean Pereira and Cindy Heller Pereira are a young working class married couple - Dean currently working as a painter and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie Despite their relatively tender ages they are both ravaged by the life theyve eked out together and by the experiences theyve had leading into their marriage Dean a high school drop out comes from a broken home where he never really had a mother figure He never saw himself getting married or having a family despite falling in love at first sight with Cindy He doesnt have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 oclock in the morning without it affecting his work - although Cindy believes he has so much more potential in life Cindy also comes from a dysfunctional family with her own mother and father not setting an example of a harmonious married or family life One of her previous serious relationships was with Bobby Ontario that relationship which has a profound affect on many aspects of her marriage to Dean Dean and Cindy head off on an overnight getaway together without Frankie the getaway which may provide a clearer picture if their marriage can survive its many issues	English	USA	Nominated for 1 Oscar Another 9 wins & 52 nominations	7.4	87.0	81	9600000.0	The Weinstein Company	29-Dec-10	2010	12	5077496.0	1308.0	10283.0	356.0	1000000	9706328	Weinstein Company	neutral	subjective	0.524347126	1.0
32	The Devil Inside	2012	R	17	83	Horror	William Brent Bell	Fernanda Andrade; Simon Quarterman; Evan Helmuth; Ionut Grama	An American girl Isabella sets out to make a documentary to understand what happened to her mother who murdered three clergy people She was not convicted due to insanity and was sent to a mental hospital in Italy Isabella meets with some priests in Italy who explain that her mothers condition may not be medical but could be an extra-human possession	English; Italian	USA; Italy; Mexico; Romania	2 wins & 3 nominations	4.2	6.0	18	53245055.0	Paramount Pictures	6-Jan-12	2012	1	55819.0	14.0	72.0	5.0	1000000	53261944	Paramount	negative	subjective	0.669495106	1.0
33	Camp X-Ray	2014	R	17	117	Drama; War	Peter Sattler	Nawal Bengholam; Payman Maadi; Lane Garrison; Joseph Julian Soria	A young soldier escapes her suffocating small town by joining the military only to find that she isnt going for a tour of duty in Iraq as she hoped Instead shes sent to Guantanamo Met with hatred and abuse from the men in her charge she forges an odd friendship with a young man who has been imprisoned at Gitmo for eight years	English	USA	6 nominations	6.9	75.0	54	9837.0	IFC Films	17-Oct-14	2014	10	7194600.0	5691.0	24375.0	3488.0	1000000	13302	IFC	neutral	subjective	0.76587534	1.0
34	Unfriended	2014	R	17	83	Drama; Horror; Mystery	Levan Gabriadze	Heather Sossaman; Matthew Bohrer; Courtney Halverson; Shelley Hennig	While video chatting one night six high school friends receive a Skype message from a classmate who killed herself exactly one year ago At first they think its a prank but when the girl starts revealing the friends darkest secrets they realize they are dealing with something out of this world something that wants them dead	English	USA	3 wins & 6 nominations	5.6	63.0	59	31354666.0	Universal Pictures	17-Apr-15	2015	4	316051.0	130.0	674.0	37.0	1000000	32482090	Universal	neutral	subjective	0.613465726	1.0
35	An Inconvenient Sequel: Truth to Power	2017	PG	7	98	Documentary	Bonni Cohen; Jon Shenk	Al Gore; George W. Bush; John Kerry; Marco Krapels	A sequel to The Inconvenient Truth the follow-up documentary addresses the progress made to tackle the problem of climate change and Al Gores global efforts to persuade governmental leaders to invest in renewable energy culminating in the landmark signing of 2016s Paris Climate Agreement	English; French; Russian; German; Mandarin	USA	Nominated for 1 BAFTA Film Award Another 3 wins & 11 nominations	6.1	80.0	68	3456144.0	Paramount Pictures	28-Jul-17	2017	7	2776216.0	4087.0	15777.0	2084.0	1000000	3496795	Paramount	negative	subjective	0.892273545	0.999977777
36	Food, Inc.	2008	PG	7	94	Documentary	Robert Kenner	Eric Schlosser; Richard Lobb; Vince Edwards; Carole Morison	The current method of raw food production is largely a response to the growth of the fast food industry since the 1950s The production of food overall has more drastically changed since that time than the several thousand years prior Controlled primarily by a handful of multinational corporations the global food production business - with an emphasis on the business - has as its unwritten goals production of large quantities of food at low direct inputs (most often subsidized) resulting in enormous profits which in turn results in greater control of the global supply of food sources within these few companies Health and safety (of the food itself of the animals produced themselves of the workers on the assembly lines and of the consumers actually eating the food) are often overlooked by the companies and are often overlooked by government in an effort to provide cheap food regardless of these negative consequences Many of the changes are based on advancements in science and technology but often have negative side effectsThe products made have been shown in several studies to enlarge male sexual organs and increase male breast size The answer that the companies have come up with is to throw more science at the problems to bandage the issues but not the root causes The global food supply may be in crisis with lack of biodiversity but can be changed on the demand side of the equation	English	USA	Nominated for 1 Oscar Another 7 wins & 19 nominations	7.8	95.0	80	4238694.0	Magnolia Pictures	12-Jun-09	2009	6	145715.0	96.0	309.0	22.0	1000000	4417674	Magnolia	positive	subjective	0.405440986	1.0
37	Frozen River	2008	R	17	97	Crime; Drama	Courtney Hunt	Melissa Leo; Misty Upham; Charlie McDermott; Michael O'Keefe	Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec Here the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage Two women - one white one Mohawk both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St Lawrence River Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game	English; French; Chinese; Urdu	USA	Nominated for 2 Oscars Another 32 wins & 37 nominations	7.2	88.0	82	2061019.0	Sony Pictures Classics	1-Aug-08	2008	8	58543.0	2.0	37.0	18.0	1000000	2511476	Sony Classics	neutral	objective	0.90198195	1.0
38	I Origins	2014	R	17	106	Drama; Romance; Sci-Fi	Mike Cahill	Michael Pitt; Steven Yeun; Astrid Bergès-Frisbey; Brit Marling	I Origins begins when graduate student Ian Gray is researching the evolution of human eyes with Karen and Kenny in order to prove that eyes have evolved instead of appeared as creationists claim His fascination with eyes takes him into areas that have profound personal and cultural consequences	English; Hindi	USA	2 wins & 3 nominations	7.4	52.0	57		Fox Searchlight Pictures	18-Jul-14	2014	7	3010425.0	1301.0	7678.0	645.0	1000000	336472	Fox Searchlight	neutral	subjective	0.631168067	1.0
